cell_id	x	y	celltype	valve	score__Valve_defects	z__Valve_defects	score__Atrioventricular_septal_defect	z__Atrioventricular_septal_defect	score__Atrial_septal_defect	z__Atrial_septal_defect	score__Ventricular_septal_defect	z__Ventricular_septal_defect	score__Malformation_of_the_outflow_tract	z__Malformation_of_the_outflow_tract	score__HypertrophicCardiomyopathy	z__HypertrophicCardiomyopathy	score__DilatedCardiomyopathy	z__DilatedCardiomyopathy	score__PCGC_DeNovoVariants	z__PCGC_DeNovoVariants	score__Single_ventricle_disease	z__Single_ventricle_disease	score__Familial_thoracic_aortic_aneurysm_and_aortic_dissection	z__Familial_thoracic_aortic_aneurysm_and_aortic_dissection
ATR_089_set19__502	17882.727414434892	17752.650780789216	vCM-LV-Compact II	False	0.32216936	-1.0580995	0.3696241	-0.7557424	0.4319103	-0.56174105	0.39847264	-0.3015607	0.37609732	-0.787272	1.1924365	2.6199229	0.89527243	2.416558	0.3292051	-1.7572374	0.42773986	-0.8705192	0.4203819	-0.4868361
ATR_089_set19__538	17933.232727210154	17645.458609312547	vCM-LV-Trabecular I	False	0.4401859	0.4600656	0.3783392	-0.65587306	0.50495493	0.5206712	0.55620545	1.9758798	0.47255936	0.58712894	0.74866813	1.3096805	0.70402473	1.6271083	0.39403027	-0.5984192	0.71235794	2.1119921	0.6063115	0.17327534
ATR_089_set19__577	17703.041428451295	17745.74963698515	vEndocardial	False	0.41324764	0.113531776	0.44536188	0.11216315	0.527482	0.85448825	0.48108786	0.8912872	0.47149178	0.571918	1.3179282	2.990442	1.0179428	2.922928	0.44789648	0.36449596	0.55472803	0.46018913	0.5359358	-0.07658156
ATR_089_set19__648	17886.180783304888	17714.196723675523	vEndocardial	False	0.35469073	-0.6397445	0.39739177	-0.4375431	0.45981458	-0.14824145	0.43328503	0.20108135	0.38168183	-0.70770335	1.0972427	2.3388598	0.85796124	2.2625415	0.4353903	0.14093472	0.40681526	-1.089788	0.34607777	-0.7506403
ATR_089_set19__651	17793.622433887398	17742.086051905968	vCM-LV-Compact I	False	0.2845653	-1.5418383	0.3448174	-1.040011	0.40759668	-0.9220327	0.37317818	-0.66677713	0.33311415	-1.3997006	1.2941915	2.9203584	0.9597184	2.682584	0.34408566	-1.4912317	0.45363918	-0.5991204	0.3798269	-0.63081974
ATR_090_set19__176	18109.786910878152	17550.345730995108	Compact vFibro	False	0.39364877	-0.13858816	0.34036666	-1.0910137	0.39033028	-1.1778948	0.34295297	-1.1031868	0.43421444	0.04078665	0.08674584	-0.64466983	0.2166605	-0.38467824	0.4484817	0.37495756	0.51520246	0.046000924	0.92134285	1.2917407
ATR_090_set19__220	18081.92512296203	17681.85646918606	vEndocardial	False	0.4929784	1.1391883	0.5597902	1.423437	0.5207883	0.7552982	0.45903534	0.5728797	0.4532266	0.31167373	0.14825155	-0.46307194	0.2054273	-0.43104768	0.47915006	0.92318654	0.48370317	-0.28408003	0.7253947	0.5960601
ATR_090_set19__271	18036.831711063125	17670.621660317353	vCM-LV-Trabecular II	False	0.37199014	-0.41720483	0.34735397	-1.0109437	0.42686614	-0.636488	0.37398845	-0.655078	0.2827292	-2.1175904	0.12300843	-0.5376032	0.13837327	-0.7078394	0.3969631	-0.545992	0.30065566	-2.2022338	0.3248921	-0.8258564
ATR_090_set19__322	17993.788602359073	17720.45540700877	vEndocardial	False	0.37540296	-0.37330237	0.41789997	-0.2025325	0.4939234	0.35720026	0.47767258	0.8419753	0.420868	-0.1493747	1.5036353	3.5387492	1.1373242	3.4157217	0.41575226	-0.21011576	0.5210017	0.10677107	0.5011922	-0.19993283
ATR_090_set19__333	17984.31622403379	17520.758567318222	vCM-LV-Compact I	False	0.37776396	-0.34293047	0.41164693	-0.2741882	0.48826334	0.27332667	0.46664053	0.682688	0.4220907	-0.13195354	1.4187872	3.288232	1.0793232	3.1762996	0.40442622	-0.41258073	0.5321336	0.223422	0.48044136	-0.2736052
