	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_204_set5__538	-0.0425	-0.1079	0.5538	-0.2197	0.8143	-0.0794	-0.0991	0.0137	-0.0656	-0.0671
VEN_204_set5__543	0.0393	-0.0567	0.5782	-0.2233	0.7848	0.0009	-0.0143	-0.0327	-0.0032	0.0428
VEN_204_set5__546	0.2832	0.1553	0.7876	-0.1054	0.8242	0.1936	0.1566	0.2577	0.2346	0.2631
VEN_204_set5__565	0.0906	-0.0455	0.6973	-0.2292	0.8019	0.0388	0.0636	0.0834	0.0149	0.0399
VEN_204_set5__578	-0.2653	-0.3757	0.4048	-0.5027	0.6534	-0.2173	-0.2063	-0.2274	-0.3345	-0.2709
VEN_204_set5__686	0.0925	-0.0038	0.7199	-0.1341	0.9134	0.0761	0.1183	0.1628	0.0748	0.0292
VEN_204_set5__697	0.2083	0.0845	0.8399	-0.1743	1.0778	0.1059	0.1264	0.1589	0.1240	0.1891
VEN_204_set5__736	0.0211	-0.0904	0.6831	-0.3425	0.8763	-0.0450	-0.0215	-0.0227	-0.0624	-0.0248
VEN_204_set5__777	-0.2226	-0.4826	0.6025	-0.5066	0.7325	-0.1844	-0.1591	-0.3129	-0.2480	-0.2137
VEN_204_set5__791	0.0935	-0.0046	0.4053	-0.2475	0.5430	-0.0012	0.0681	0.0238	0.0883	0.1849
VEN_204_set5__797	0.1156	0.0200	0.4278	-0.1426	0.4651	0.0594	0.0544	0.1455	0.0811	0.1016
VEN_204_set6__1022	0.0112	-0.0235	0.3606	-0.2324	0.4105	-0.0344	-0.0845	-0.0192	-0.0564	-0.0132
VEN_204_set6__1054	0.1972	-0.0507	0.6507	-0.4950	0.7131	0.4414	-0.0756	-0.0730	0.0899	0.8674
VEN_204_set6__1086	0.1612	0.2126	0.7714	-0.0775	0.8088	0.0544	0.0474	0.4292	0.2356	0.4865
VEN_204_set6__1092	0.3220	-0.0452	-0.5165	0.3722	-0.9495	0.0836	-0.1819	0.2997	0.1228	0.4775
VEN_204_set6__113	-0.2764	-0.1503	-0.6476	0.4333	-1.0241	-0.0990	0.0462	-0.3253	-0.1587	-0.3457
VEN_204_set6__163	0.3674	0.0310	0.6691	-0.2269	0.5973	0.1464	0.1542	0.2196	0.2123	0.2667
VEN_204_set6__196	0.0948	0.0320	-0.5327	0.3588	-0.7756	-0.0067	0.2507	-0.0950	0.1506	0.1444
VEN_204_set6__425	0.1993	0.3452	-0.0474	0.1311	-0.3037	0.2383	0.2268	0.1852	0.0646	0.1801
VEN_204_set6__469	-0.0061	0.1979	-0.7134	-0.3810	-0.9758	0.0824	-0.0345	-0.1729	-0.0028	0.1187
VEN_204_set6__487	0.0706	0.0129	0.3628	-0.0575	0.4595	0.0070	-0.1286	0.2158	-0.0007	0.1428
VEN_204_set6__488	-0.5078	-0.4492	-0.6053	0.1421	-0.8738	-0.2611	-0.4259	-0.4644	-0.4544	-0.3359
VEN_204_set6__501	0.3229	0.3665	0.1417	-0.3053	-0.1768	0.2615	0.2878	0.0706	0.4261	0.6165
VEN_204_set6__529	0.0970	0.1571	0.5302	-0.1949	0.8316	0.0617	0.0237	0.1907	0.0154	0.0563
VEN_204_set6__533	0.2692	0.0841	0.7437	-0.2146	0.7249	0.2260	0.0648	0.2603	0.2171	0.1998
VEN_204_set6__538	0.0307	-0.1739	0.3522	-0.3728	0.5465	-0.0704	0.0110	-0.0092	-0.0465	-0.0137
VEN_204_set6__540	0.2260	-0.0736	0.6533	-0.3584	0.5834	0.1273	0.1991	-0.0244	0.0928	0.2275
VEN_204_set6__638	0.1958	0.1285	0.6691	0.0063	0.8645	0.1729	-0.0733	0.1080	0.0824	0.2796
VEN_204_set6__698	0.1232	0.0500	0.6424	-0.1650	0.8556	0.0600	0.0207	0.1373	0.0623	0.0959
VEN_204_set6__710	0.2643	0.1000	0.6923	0.0139	0.7897	0.2019	0.0643	0.0480	0.1806	0.3658
VEN_204_set6__714	0.3695	0.0866	0.6517	-0.1162	0.5934	0.3805	0.1786	0.2358	0.2444	0.6042
VEN_204_set6__730	0.2112	-0.2850	0.2940	-0.4303	0.1004	0.2304	-0.0477	-0.0338	0.1939	0.1693
VEN_204_set6__815	0.2129	0.1465	0.7837	-0.1249	1.0231	0.1160	0.0793	0.2186	0.1282	0.1773
VEN_204_set6__831	-0.1634	-0.0330	0.3956	-0.3589	0.4537	-0.1990	-0.0781	-0.3303	-0.1489	0.0235
VEN_204_set6__893	-0.0030	0.0277	0.6196	-0.2489	0.8957	-0.0379	-0.1512	0.0088	-0.0702	0.0280
VEN_204_set6__951	-0.0726	0.2575	-0.5260	0.0715	-0.6800	-0.0698	0.0494	-0.4060	-0.0349	-0.2539
VEN_204_set6__962	-0.1349	-0.1119	-0.5532	0.4131	-0.8037	-0.0373	0.0641	-0.1388	0.0230	-0.1431
VEN_204_set8__130	0.2424	-0.0585	0.7313	-0.1195	0.7404	0.1072	0.1053	0.2050	0.1324	0.1304
VEN_204_set8__15	0.2893	0.1968	0.8009	-0.0478	0.6656	0.2047	0.0322	0.1219	0.1653	0.2740
VEN_204_set8__304	0.0955	-0.0806	0.4124	-0.0399	0.6987	0.0899	0.0886	0.0778	0.1134	0.2802
VEN_204_set8__316	0.0746	0.1714	0.3782	-0.1388	0.5500	0.0126	0.0005	0.2907	0.0034	0.0719
VEN_204_set8__343	0.2849	0.1946	1.0955	0.2141	0.8799	0.2735	0.0713	0.3561	0.1205	0.3916
VEN_204_set8__345	-0.1487	-0.2747	0.7079	-0.3701	0.9548	-0.1450	-0.1274	-0.1823	-0.2195	-0.1771
VEN_204_set8__400	-0.2057	-0.4229	0.6688	-0.3450	0.9712	-0.2482	-0.1628	-0.2228	-0.3066	-0.2278
