	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
ATR_000_set19__104	-0.1475	-0.1442	-0.6475	-0.0604	-0.9961	-0.2537	-0.0924	-0.6827	-0.2577	0.1099
ATR_000_set19__114	-0.1296	-0.0345	-0.0681	-0.1857	0.2492	-0.1033	-0.0966	0.0248	-0.1942	-0.1814
ATR_000_set19__157	0.2556	0.0924	-0.5429	0.2181	-0.8721	0.3607	0.1707	0.8268	0.3034	0.2379
ATR_000_set19__178	-0.2785	-0.2193	-1.0029	0.3982	-1.1853	-0.0867	-0.1549	0.0021	-0.1994	-0.3457
ATR_000_set19__181	0.2217	0.1896	0.6462	0.5047	0.9656	0.1554	0.0593	0.2481	0.1361	0.1990
ATR_000_set19__184	0.1274	0.4609	-0.6931	0.0618	-0.9814	0.0741	0.0697	-0.1006	0.1895	0.2263
ATR_000_set19__221	0.3340	-0.1810	0.3902	-0.0849	0.3069	0.1767	0.2119	0.1203	0.3727	0.3694
ATR_000_set19__35	0.1429	0.2214	-0.7200	-0.3270	-1.0377	0.1092	0.1794	-0.0253	0.1462	0.3853
ATR_000_set19__69	0.2449	0.1883	0.6068	0.4261	0.6856	0.1050	0.0754	0.2691	0.1983	0.1456
ATR_000_set19__99	-0.1605	0.0334	-0.9872	0.4446	-1.1173	-0.0948	-0.3306	-0.1182	-0.1166	-0.3988
ATR_001_set15__101	-0.3395	-0.0150	-0.8415	0.2966	-1.0405	-0.1084	-0.0875	-0.4187	-0.1987	-0.3427
ATR_001_set15__173	-0.0608	0.0921	-0.7200	0.5953	-1.0578	0.2144	0.0343	-0.1284	0.1201	-0.0286
ATR_001_set15__174	-0.0028	0.1803	-0.6791	0.6639	-1.0360	0.2388	0.0734	0.0316	0.2064	0.1752
ATR_001_set15__201	0.2858	0.3484	-0.6005	0.9277	-0.9063	0.3587	0.3965	0.0882	0.4633	0.2400
ATR_001_set15__211	0.2161	0.3383	-0.6033	0.9598	-1.0320	0.3197	0.0949	0.2790	0.4375	0.4552
ATR_001_set15__226	-0.2673	0.2354	-0.8302	0.2497	-0.9977	0.0362	-0.4216	-0.0921	0.1142	-0.2956
ATR_001_set15__240	-0.0985	-0.0341	-0.6550	1.4611	-0.5640	-0.1426	-0.0683	-0.3286	-0.0804	0.0228
ATR_001_set15__282	0.1521	0.0800	-0.5149	1.1869	-0.7330	0.1677	0.3519	0.4951	0.1652	-0.1022
ATR_001_set15__326	0.0720	0.3097	-0.7601	1.0314	-0.8910	0.1480	0.1613	0.0301	0.2208	0.1461
ATR_001_set15__355	-0.1424	-0.0285	-0.6836	0.4612	-1.0306	-0.0580	-0.1022	-0.1049	-0.0851	-0.1020
ATR_001_set15__382	-0.3088	-0.3581	-0.8744	0.1281	-1.0894	-0.1011	-0.2159	-0.1237	-0.2038	-0.4066
ATR_001_set15__84	0.0011	0.1240	-0.7675	0.3851	-1.0450	0.0835	0.0283	-0.3065	0.0988	0.0545
ATR_001_set17__132	0.2127	0.1631	-0.7416	0.5198	-0.9016	0.0881	0.1607	0.1061	0.2830	0.0817
ATR_001_set17__274	0.1684	0.2861	-0.6363	0.7585	-0.8773	0.4204	0.0922	0.2399	0.2359	0.2644
ATR_001_set17__431	0.2787	0.7576	-0.4036	1.8883	-0.5918	0.4611	0.5698	0.1581	0.5134	0.1826
ATR_001_set17__460	-0.2313	-0.1450	-0.5620	0.7029	-0.7239	0.0415	0.1002	-0.4475	-0.2297	-0.1488
ATR_001_set17__511	0.1184	0.1503	-0.6847	0.6961	-0.9708	0.1331	0.1103	-0.0148	0.1485	0.0011
ATR_001_set17__588	-0.5703	-0.5563	-0.1264	-0.5214	-1.0493	0.0256	-0.0487	-0.7409	-0.7036	-0.2796
ATR_001_set17__616	0.0677	0.3139	-0.5305	1.1572	-0.7496	0.2342	0.1513	-0.1644	0.3214	0.1260
ATR_001_set17__76	0.4193	0.6522	-0.4165	1.0084	-0.6461	0.4526	0.4805	0.3434	0.5136	0.5371
ATR_001_set18__120	0.3644	0.3167	0.6130	0.9250	0.4745	0.2782	0.1497	0.2404	0.2895	0.3624
ATR_001_set18__17	0.3669	0.4704	0.3122	0.2419	0.4522	0.2489	0.2843	0.4809	0.3212	0.3251
ATR_001_set18__195	0.4440	0.4305	-0.6526	0.5373	-0.8869	0.4961	0.4293	0.3458	0.4385	0.8863
ATR_001_set18__247	0.3146	0.2625	0.4591	0.2908	0.4525	0.1952	0.2458	0.2609	0.2603	0.2989
ATR_001_set18__281	0.3083	0.4084	0.3417	0.0462	0.5500	0.2013	0.2373	0.5238	0.2434	0.3000
ATR_001_set18__31	0.3971	0.4808	0.4107	0.2541	0.5693	0.2468	0.3146	0.5199	0.3052	0.2820
ATR_001_set18__385	-0.1890	-0.0456	-0.0394	-0.3757	0.1893	-0.1696	-0.0974	0.1399	-0.2675	-0.1922
ATR_001_set18__404	0.2922	0.4286	0.2409	0.0315	0.3767	0.1746	0.2669	0.4166	0.2214	0.2151
ATR_001_set1__107	-0.0153	0.1439	-0.6170	0.3146	-0.9382	0.1303	-0.0731	-0.0915	0.0568	-0.0963
ATR_001_set1__110	0.1297	0.1830	-0.6829	0.4887	-0.8533	0.1281	0.4803	-0.1668	0.2915	0.0601
ATR_001_set1__144	0.1422	0.2131	0.3889	-0.1269	0.5994	0.0922	-0.0300	0.1919	-0.0877	0.0213
ATR_001_set1__33	0.0821	0.0776	0.2481	0.1904	0.3703	-0.0176	-0.0076	0.1200	0.0424	0.0517
ATR_001_set20__154	0.1136	0.1446	-0.5765	0.2379	-0.9493	0.1565	0.1749	0.0992	0.1547	0.0362
ATR_001_set20__220	0.2467	0.2126	0.7491	0.5746	1.0431	0.1366	0.0983	0.2609	0.1961	0.2271
ATR_001_set20__243	-0.0096	0.1419	-0.4526	0.0934	-0.2367	-0.2468	0.0208	-0.2372	0.0117	0.2067
ATR_001_set20__264	-0.4093	-0.3397	-0.9458	-0.2181	-1.0921	-0.2084	-0.4677	-0.1384	-0.2273	-0.3528
ATR_001_set20__287	0.0106	0.0322	0.2215	-0.1658	0.4742	-0.1160	-0.0426	0.1821	-0.1083	-0.1006
ATR_001_set20__314	-0.0876	-0.3815	-0.9774	-0.5653	-1.0027	-0.1688	0.0254	-0.3462	-0.1384	-0.1944
ATR_001_set20__321	-0.1267	0.0729	-0.0478	-0.3941	0.1761	-0.1156	-0.1076	0.3085	-0.1553	-0.1747
ATR_001_set20__363	0.1672	0.3251	0.1222	0.0036	0.2516	0.0818	0.1445	0.3163	0.0744	0.1175
ATR_001_set20__392	-0.3175	-0.1197	-0.2376	-0.5528	0.2170	-0.2117	-0.2690	0.0374	-0.3494	-0.1223
ATR_001_set20__469	0.0386	-0.7113	-0.2230	0.1374	-0.3234	-0.0080	0.0390	-0.7074	0.1381	0.1885
ATR_001_set20__553	-0.3447	-0.3645	-0.3318	-0.5322	-0.3172	-0.2773	-0.3432	0.0299	-0.3057	-0.1121
ATR_001_set20__82	0.1943	0.2324	0.8669	0.6310	1.0988	0.0789	0.1774	0.0912	0.0464	0.0437
ATR_001_set20__96	0.1968	0.2557	0.5436	0.4090	0.7314	0.0770	0.0939	0.2404	0.1278	0.0272
ATR_001_set2__80	-0.4716	-0.6004	-0.8556	0.2583	-1.1147	-0.3591	-0.4708	-0.3992	-0.4834	-0.4670
ATR_001_set3__69	0.2945	0.1457	0.6924	0.4884	0.7880	0.0884	0.1084	0.1945	0.2528	0.1730
ATR_001_set7__120	0.0550	-0.0861	0.3642	0.2010	0.4574	-0.0631	-0.0877	0.0055	0.0232	-0.0365
ATR_001_set7__121	-0.2227	-0.2653	0.4221	-0.1084	0.6342	-0.2841	-0.2452	-0.2159	-0.3158	-0.2237
ATR_001_set7__172	0.2446	0.2419	0.5953	0.1573	0.9396	0.1412	0.0977	0.2834	0.1718	-0.1128
ATR_001_set7__188	-0.2433	-0.2144	0.0019	-0.3867	0.2601	-0.2204	-0.3542	-0.1823	-0.3816	-0.2809
ATR_001_set7__308	-0.4452	-0.4396	-0.6393	-0.3157	-0.6290	-0.2740	-0.3337	-0.4253	-0.4841	-0.3463
ATR_001_set7__327	-0.1777	-0.3126	0.1130	-0.1688	0.2744	-0.2959	-0.0184	0.0537	-0.2989	-0.2246
ATR_001_set7__384	0.1419	0.0509	0.6790	0.0730	0.9133	-0.0391	0.0455	-0.0091	0.0259	0.1176
ATR_001_set7__458	-0.0193	0.1077	-0.7261	0.7240	-1.0106	0.0943	0.1429	0.0903	0.1392	-0.0122
ATR_001_set7__462	0.1930	0.0531	0.7436	0.0170	0.6613	-0.0889	0.0934	0.2295	0.1992	0.4500
ATR_001_set7__542	-0.5616	-0.9442	-0.0299	-0.6974	-0.3248	-0.5743	-0.3447	-0.8648	-0.5778	-0.7674
ATR_001_set7__618	-0.3503	-0.2844	-0.1587	-0.4551	0.0576	-0.3298	-0.3609	-0.0687	-0.4020	-0.2910
ATR_001_set8__106	-0.0018	-0.0797	-0.6952	0.1986	-1.0048	-0.0033	0.0381	-0.0412	0.1101	-0.1000
ATR_001_set8__108	0.0126	0.1626	-0.7361	0.4794	-1.0074	0.1612	0.0464	0.0206	0.1804	0.2219
ATR_001_set8__116	0.4024	-0.0054	0.0978	-0.0774	0.1448	0.1266	0.3787	-0.0253	0.1355	0.3033
ATR_001_set8__153	-0.2103	0.1366	-0.6260	-0.2342	-0.7222	-0.2527	-0.6296	-0.1749	0.2034	-0.2632
ATR_001_set8__195	-0.2718	-0.3124	0.4868	-0.4383	0.7446	-0.2457	-0.2412	-0.1970	-0.3272	-0.2913
ATR_001_set8__262	0.0684	-0.0589	0.6410	-0.3221	0.8987	-0.0058	0.0364	0.0111	-0.0212	0.1229
ATR_001_set8__295	-0.2782	-0.4011	0.4660	-0.4349	0.8111	-0.3068	-0.2770	-0.3208	-0.3897	-0.3586
ATR_001_set8__519	0.1934	0.2264	-0.5793	0.5532	-0.8919	0.2599	0.2490	0.0363	0.3136	0.2602
ATR_001_set8__585	-0.1568	-0.2383	-0.6486	0.5036	-0.8525	-0.1653	-0.1668	-0.2582	-0.1888	-0.3617
ATR_001_set8__600	-0.5348	-0.4923	-0.7738	0.3604	-1.1046	-0.2518	-0.5088	-0.2634	-0.3319	-0.5342
ATR_001_set8__622	-0.2041	-0.2889	0.4189	-0.3649	0.6300	-0.1825	-0.1819	-0.0814	-0.2602	-0.1633
ATR_001_set8__676	0.1160	0.0315	-0.4994	0.8803	-0.8695	0.2514	0.2132	0.0987	0.2069	-0.0254
ATR_001_set8__700	0.4486	0.2670	-0.7768	0.2504	-0.9090	0.2817	0.4713	0.1159	0.7239	0.9187
ATR_001_set9__234	-0.4241	-0.0109	-0.8724	-0.2388	-1.0070	-0.1004	0.1406	-0.6887	-0.2149	-0.3838
ATR_001_set9__258	0.0450	0.1158	-0.7023	0.5295	-0.9659	0.1946	0.1326	-0.0154	0.1843	-0.0255
ATR_001_set9__77	-0.0354	-0.0504	-0.7169	0.3350	-0.9623	0.0541	0.0029	-0.0246	0.0551	-0.1656
ATR_002_set11__166	0.1623	0.0609	0.9850	0.0659	1.3079	0.0855	0.1442	0.0119	0.1161	0.1368
ATR_002_set11__212	0.2276	0.2750	0.5408	0.0230	0.8424	0.1260	0.1228	0.3764	0.1172	0.0706
ATR_002_set11__254	-0.1365	-0.1483	-0.5631	0.6989	-1.0076	0.0627	-0.0279	-0.1057	-0.0092	-0.2149
ATR_002_set11__261	0.1682	0.0882	0.4703	0.2803	0.7858	0.0522	0.1002	0.2157	0.0943	0.0597
ATR_002_set11__288	-0.5461	-0.7955	-0.7078	0.4462	-0.9901	-0.3832	-0.1028	-0.6894	-0.5426	-0.8253
ATR_002_set11__312	0.1190	0.1514	0.3897	0.0217	0.5735	0.0212	0.0746	0.1974	0.0385	0.0285
ATR_002_set11__39	-0.0510	-0.0129	0.4742	-0.3923	0.4959	-0.1367	-0.1504	-0.0646	-0.0958	-0.1030
ATR_002_set11__68	0.2008	0.2002	0.2759	0.0851	0.2847	0.0807	0.0937	0.2216	0.1510	0.1869
ATR_002_set12__100	0.3576	0.5030	-0.5708	0.5822	-0.8751	0.3942	0.3107	0.3073	0.4216	0.2897
ATR_002_set12__143	-0.3480	-0.2707	-0.1532	-0.0994	0.2147	-0.3186	-0.3742	-0.0901	-0.3142	-0.2949
ATR_002_set12__152	-0.2191	-0.0854	0.0774	-0.1627	0.3400	-0.2097	-0.2186	0.0027	-0.2758	-0.1167
ATR_002_set12__182	-0.1642	0.2610	-0.7062	-0.2450	-1.0142	0.0041	0.0725	-0.0798	-0.1051	0.0063
ATR_002_set12__50	0.1442	0.1872	-0.5720	0.2734	-0.8329	0.1434	0.2928	-0.0539	0.2764	0.2573
ATR_002_set15__155	0.2956	0.5869	-0.4301	0.7768	-0.8137	0.4094	0.3674	0.1984	0.5961	0.2157
ATR_002_set15__172	-0.1145	0.1190	-0.8184	0.5393	-0.8844	0.0066	0.0513	-0.2349	0.0907	-0.0297
ATR_002_set15__196	0.4704	0.6801	-0.5055	1.2087	-0.7550	0.5801	0.5368	0.4809	0.6934	0.4132
ATR_002_set15__276	-0.2153	0.0225	-0.8134	0.4202	-1.0324	-0.0272	-0.1473	-0.1721	-0.0297	-0.1148
ATR_002_set15__295	-0.3054	-0.2859	-0.8613	0.1593	-1.0531	-0.1758	-0.3012	-0.2624	-0.1901	-0.3663
ATR_002_set15__364	0.2494	0.2499	-0.5402	1.0537	-0.6820	0.2286	0.3909	-0.0506	0.3093	0.0940
ATR_002_set15__418	0.0731	0.0522	-0.4748	-0.1551	-1.1215	-0.0526	0.0389	-0.3789	-0.0103	0.1144
ATR_002_set15__436	0.0256	-0.1777	-0.5809	0.4226	-0.8450	0.3039	0.4473	-0.1319	0.1092	0.4301
ATR_002_set15__509	0.2499	0.5728	-0.6549	0.4958	-0.9860	0.4478	0.2421	0.3314	0.4058	0.1596
ATR_002_set15__56	-0.2785	-0.2963	-0.9610	0.4102	-1.0529	-0.3522	-0.3945	-0.4449	-0.1987	-0.2773
ATR_002_set15__572	0.2213	0.4466	-0.7029	-0.0627	-0.9214	0.3097	0.2094	0.0957	0.3973	0.4494
ATR_002_set15__610	0.0424	0.2282	-0.7001	0.8040	-0.8148	0.1020	0.1276	0.1828	0.1902	0.1449
ATR_002_set15__67	-0.0317	0.1649	-0.6615	0.2240	-0.9750	0.1043	0.0318	-0.0343	0.1731	0.2586
ATR_002_set15__729	0.2839	0.4473	-0.5780	0.2562	-0.8687	0.1132	0.1939	0.4212	0.3071	0.3788
ATR_002_set15__800	0.0594	0.7295	-0.7696	0.3912	-0.9072	0.2595	-0.0860	0.3234	0.2558	-0.0248
ATR_002_set15__813	-0.4410	-0.4120	-1.0632	-0.2874	-1.0656	-0.4255	-0.1140	-0.6091	-0.4931	-0.2379
ATR_002_set17__212	0.2244	0.7005	-0.3832	0.4499	-0.8328	0.2411	0.2644	0.3087	0.3042	0.2158
ATR_002_set17__237	0.2312	0.5209	-0.6304	1.2583	-0.7731	0.2045	0.1854	0.1716	0.4250	0.2055
ATR_002_set17__354	-0.2605	-0.0176	-0.8074	0.0413	-1.0112	-0.2756	-0.1988	-0.5652	-0.2731	-0.2558
ATR_002_set17__429	0.0530	0.2534	-0.6044	0.6816	-0.9091	0.2735	0.2853	0.0125	0.3199	0.1106
ATR_002_set17__518	-0.3356	-0.5618	-0.8271	1.0405	-0.9510	-0.3425	0.1036	-0.0336	-0.1877	-0.0809
ATR_002_set17__521	-0.2133	0.0642	-0.7543	0.6220	-1.0418	-0.0167	-0.0397	-0.0777	-0.1135	-0.3799
ATR_002_set17__98	0.2159	0.4729	-0.2134	2.1362	-0.3977	0.3220	0.3974	-0.0708	0.4066	-0.1026
ATR_002_set18__41	0.4623	0.7249	-0.5959	0.6791	-0.8369	0.5167	0.4264	0.4116	0.6089	0.6199
ATR_002_set1__106	0.1844	0.2440	0.6436	0.1667	0.4355	0.1562	0.1466	0.2407	0.1619	0.1650
ATR_002_set1__134	-0.2420	-0.5732	1.0689	-0.1399	1.0028	-0.4776	-0.4527	-0.3780	-0.2882	-0.4071
ATR_002_set1__146	0.1948	0.6550	-0.3727	0.0734	-0.4184	0.0597	0.1517	0.0010	0.1251	0.3340
ATR_002_set1__152	0.1462	0.1759	0.3114	-0.0917	0.5232	0.0691	0.0675	0.2423	0.0549	0.0842
ATR_002_set1__158	-0.2645	0.0377	-0.6217	0.5631	-0.8488	0.0254	0.0047	0.2478	-0.1314	-0.4603
ATR_002_set1__162	-0.2815	-0.0584	-0.6420	0.1027	-1.0438	-0.0866	-0.2091	-0.2090	-0.0569	-0.1386
ATR_002_set1__5	-0.2175	-0.2223	-0.1913	-0.3302	-0.0803	-0.2091	-0.2150	0.0417	-0.2829	-0.0602
ATR_002_set5__118	0.1918	0.2574	-0.6463	0.7754	-0.9019	0.1927	0.2897	0.1830	0.2396	0.1562
ATR_002_set5__168	0.3430	0.4848	-0.3703	0.5491	-0.6573	0.4298	0.5751	0.4547	0.5078	0.4458
ATR_002_set5__192	0.3653	0.2866	-0.5212	0.3823	-0.9720	0.5233	0.3480	0.5955	0.5012	-0.0094
ATR_002_set5__197	-0.0925	-0.0102	-0.9176	-0.0697	-0.9696	-0.0727	-0.2376	-0.1691	0.1523	0.1860
ATR_002_set5__210	0.0562	0.1720	-0.0161	-0.2867	-0.1661	0.0389	-0.2644	0.2699	-0.0325	0.0992
ATR_002_set5__22	-0.1247	0.1299	-0.7740	0.3144	-0.9518	0.0233	-0.0617	-0.0342	0.0648	0.0462
ATR_002_set5__239	-0.4746	-0.2195	-0.2615	-0.5787	0.2083	-0.3219	-0.6407	0.3529	-0.5528	-0.1727
ATR_002_set5__272	0.3246	0.0838	0.1354	0.0290	0.1240	0.0147	0.0736	0.3024	0.3216	0.2145
ATR_002_set5__331	-0.0956	-0.2846	-0.8723	-0.3269	-0.9661	-0.3857	-0.2097	-0.5694	-0.0820	0.0108
ATR_002_set5__441	-1.0679	-1.5169	-0.3762	-0.4969	-0.1441	-1.1937	-1.0115	-1.3839	-1.1568	-0.9766
ATR_002_set5__442	-0.1586	-0.1768	-0.5363	-0.8637	-0.9447	-0.1372	0.0433	-0.4288	-0.2173	-0.0003
ATR_002_set5__454	-0.1955	-0.1670	-0.7775	0.5495	-1.0381	0.0288	-0.1345	0.0634	-0.0098	-0.3274
ATR_002_set5__472	0.2546	0.7215	0.0924	-0.2283	0.0284	0.2797	-0.0549	0.6578	0.0718	0.0983
ATR_002_set5__491	-0.3069	-0.0062	-0.8582	0.0273	-0.9982	-0.1931	0.2334	-0.2995	-0.3585	-0.2052
ATR_002_set5__72	0.1080	0.3973	-0.1133	0.2961	-0.2281	0.0095	-0.0894	-0.1075	0.0555	0.1191
ATR_002_set7__70	0.5338	0.0156	-0.8572	-0.4027	-0.8509	-0.0670	0.5392	-0.2568	0.3926	0.7400
ATR_002_set8__155	0.0234	-0.1264	0.7262	-0.2795	1.0206	-0.0682	-0.0368	-0.0583	-0.0762	-0.0504
ATR_002_set8__207	-0.2325	-0.4527	-0.8591	-0.1462	-0.9853	-0.4236	-0.0813	-0.6099	-0.2286	-0.1262
ATR_002_set8__289	-0.1421	-0.2161	0.5497	-0.3487	0.8345	-0.1714	-0.0889	-0.0962	-0.2117	-0.1509
ATR_002_set8__298	0.0660	-0.2192	0.4454	-0.2863	0.4711	-0.0359	-0.0700	0.0263	-0.1062	0.0965
ATR_002_set8__333	-0.0111	-0.1063	0.6264	-0.2723	0.9512	-0.0786	-0.0359	0.0220	-0.1062	-0.0735
ATR_002_set8__404	0.7078	0.4189	0.1889	0.0536	0.3587	0.2556	0.2021	0.2929	0.2164	0.6046
ATR_002_set8__603	-0.0581	-0.1517	0.5654	-0.2657	0.7297	-0.0850	-0.0625	-0.0630	-0.1161	-0.0713
ATR_002_set8__616	0.1386	-0.0823	-0.6589	0.3482	-0.8654	0.0080	0.2079	-0.0776	0.1361	0.0302
ATR_002_set8__638	0.2300	0.0873	0.6979	-0.1524	0.8282	0.1546	0.1619	0.1571	0.1755	0.2804
ATR_002_set8__639	-0.1971	-0.1959	0.2819	-0.3835	0.4296	-0.3270	-0.1107	-0.2387	-0.3518	0.0134
ATR_002_set8__706	-0.0658	-0.3349	0.5703	-0.4950	0.6819	-0.1386	-0.1206	-0.0950	-0.1996	-0.1152
ATR_002_set8__840	-0.2090	0.0314	-0.8771	-0.1352	-1.1047	-0.1296	0.0527	-0.4535	-0.0356	0.0218
ATR_002_set8__919	-0.3847	-0.4287	-0.1083	-0.6464	0.1471	-0.1053	-0.2836	-0.3667	-0.4146	0.1171
ATR_002_set9__112	0.1192	0.2867	-0.4235	-0.4074	-0.5664	0.0182	0.4481	-0.1425	0.0998	0.1413
ATR_002_set9__119	-0.3351	-0.5795	0.4223	-0.2744	0.2552	-0.2324	-0.2607	-0.3013	-0.3174	-0.3817
ATR_002_set9__122	-0.1940	-0.3749	0.3258	-0.5340	0.4735	-0.4138	-0.5098	-0.4893	-0.2328	-0.3052
ATR_002_set9__170	-0.4406	-0.2737	-0.8148	0.0133	-0.9343	-0.1941	-0.3375	-0.2169	-0.3506	-0.4306
ATR_002_set9__172	-0.4791	-0.3587	-0.8354	0.1211	-1.0494	-0.1222	-0.2024	-0.1101	-0.3195	-0.1469
ATR_002_set9__258	0.0114	-0.0330	0.7400	0.0238	0.7601	-0.1181	-0.1065	0.0647	0.0467	0.1440
ATR_002_set9__260	0.1784	1.3284	0.6864	0.4525	0.6032	0.3128	-0.2269	-0.0277	0.1038	-0.1296
ATR_002_set9__60	0.0408	-0.0645	0.5556	-0.0992	0.6189	-0.1093	-0.1163	0.0965	0.0684	0.1211
ATR_003_set10__153	-0.1829	-0.3314	-0.1016	-0.4080	-0.4093	-0.1159	-0.0780	-0.0868	-0.3026	-0.1335
ATR_003_set10__208	0.1352	0.0462	0.6494	0.3138	0.6697	0.0799	-0.0723	0.1524	0.0900	0.0371
ATR_003_set10__273	-0.1049	-0.2488	-0.6301	0.0031	-0.9451	-0.2411	-0.0672	-0.0778	-0.1625	0.1112
ATR_003_set10__340	0.0936	0.0885	0.5216	0.2389	0.6076	0.1076	-0.0624	0.0226	0.0545	0.1026
ATR_003_set10__69	-0.1243	-0.0354	0.0175	-0.7102	0.0880	-0.1496	-0.2222	-0.2010	-0.2119	-0.2635
ATR_003_set11__220	0.1938	0.1828	0.7598	-0.1589	0.9876	0.0355	0.0970	0.2619	0.0970	-0.0188
ATR_003_set11__277	-0.1432	-0.0990	0.0858	-0.3444	0.3081	-0.1697	-0.1599	-0.0185	-0.2326	-0.1503
ATR_003_set11__309	0.3108	0.1690	0.5836	0.4275	0.6101	0.1506	0.0958	0.2529	0.2387	0.2328
ATR_003_set11__313	0.2529	0.2201	0.7047	0.1099	1.0349	0.1199	0.0316	0.3551	0.1609	0.1789
ATR_003_set11__417	-0.0464	0.0888	0.1087	-0.1839	0.3011	-0.0857	-0.0931	0.1621	-0.1375	-0.0923
ATR_003_set11__491	0.1871	0.2357	0.2833	-0.0601	0.5432	0.0845	0.1443	0.3415	0.0923	0.1028
ATR_003_set11__594	-0.0651	0.2774	-0.2548	-0.3254	-0.1997	0.0560	-0.3482	-0.1801	-0.2910	0.1157
ATR_003_set11__595	-0.5128	-0.6719	0.3385	-0.0448	0.1075	-0.4216	-0.1030	-0.6819	-0.5362	-0.4360
ATR_003_set11__596	-0.1371	-0.3042	0.1561	0.1187	0.3637	-0.1044	-0.3729	-0.2096	-0.1935	-0.0461
ATR_003_set11__676	-0.3110	-0.3414	-0.2646	-0.6521	-0.1511	-0.4309	-0.5576	-0.4815	-0.3254	-0.0660
ATR_003_set15__161	0.3950	0.4004	-0.3144	1.7975	-0.4697	0.5619	0.1408	0.9377	0.3135	0.2907
ATR_003_set15__220	-0.1503	0.1077	-0.7941	0.6802	-0.9914	-0.0880	-0.0795	-0.0514	0.0453	-0.0952
ATR_003_set15__225	0.0040	0.1536	-0.7388	0.6052	-0.9595	0.1182	0.1554	-0.1545	0.2219	0.0879
ATR_003_set15__229	0.1645	0.4764	-0.5620	0.8192	-0.7707	0.3267	0.0844	0.3265	0.3077	0.0571
ATR_003_set15__247	-0.0605	0.4143	-0.7517	0.2094	-1.1192	0.0972	-0.2332	-0.2136	-0.0248	-0.0844
ATR_003_set15__270	-0.2480	-0.0843	-0.8097	0.1383	-1.0040	0.0317	-0.1999	-0.0931	-0.0655	-0.1977
ATR_003_set15__395	0.4958	0.4048	-0.7737	0.1306	-0.9389	0.0734	0.1091	0.4376	0.4687	0.2301
ATR_003_set15__396	0.1287	0.1205	-0.7484	0.0111	-1.0664	0.2920	0.2112	0.0527	0.2868	0.3697
ATR_003_set15__411	-0.2275	-0.0685	-0.7724	0.3208	-1.0160	0.1114	-0.1615	-0.0617	0.0110	0.0400
ATR_003_set15__436	-0.3076	0.1206	-0.8718	0.3162	-1.0183	-0.1276	-0.2802	-0.1785	-0.1036	-0.2262
ATR_003_set15__539	-0.1012	0.3138	-0.7131	-0.0172	-1.0446	0.0649	0.1501	-0.0323	0.0158	0.1333
ATR_003_set15__74	-0.2589	-0.0462	-0.6721	0.5044	-1.0152	-0.0232	-0.0620	-0.2267	-0.1227	-0.2618
ATR_003_set15__752	-0.0839	0.0381	-0.7381	0.0856	-1.0124	-0.0134	-0.0814	-0.0649	-0.0441	0.0038
ATR_003_set17__138	-0.0570	-0.5368	-0.9457	-0.2621	-1.0474	-0.3565	-0.0609	-0.3599	-0.0420	-0.0769
ATR_003_set17__17	-0.4943	-0.5151	-0.7337	-0.1905	-1.0926	-0.4361	-0.4359	-1.0635	-0.1925	-0.2311
ATR_003_set17__27	0.1425	0.3755	-0.4984	2.4490	-0.3194	0.3029	0.4974	0.1057	0.2985	0.0472
ATR_003_set17__306	0.2868	0.4258	-0.6728	0.7707	-0.8684	0.3383	0.4207	0.4984	0.5310	0.2246
ATR_003_set17__327	-0.3296	-0.2198	-0.5301	0.4686	-1.0657	-0.1254	-0.2065	-0.3118	-0.1152	-0.1234
ATR_003_set17__392	0.0982	0.3268	-0.5282	1.6131	-0.7139	0.1325	0.1327	-0.1517	0.2730	-0.1991
ATR_003_set18__200	0.3056	0.3409	0.6050	0.3468	0.8903	0.2514	0.1387	0.3397	0.2290	0.3447
ATR_003_set18__254	0.2092	0.3574	0.5213	0.3377	0.5532	0.0528	0.1076	0.2394	0.1679	0.1732
ATR_003_set18__348	0.0827	-0.1509	0.6388	0.2255	0.7891	-0.1645	-0.0086	-0.0324	0.0301	-0.0141
ATR_003_set18__358	0.1403	0.4881	-0.6981	0.6807	-1.0201	0.4096	0.2069	0.5066	0.3645	0.3112
ATR_003_set18__360	-0.0419	0.0793	0.0181	-0.1371	0.1814	-0.0652	0.0035	0.1531	-0.0666	-0.1039
ATR_003_set18__364	0.1863	0.2391	0.5180	0.0963	0.7376	0.0757	0.1126	0.2801	0.1511	0.1083
ATR_003_set18__379	-0.3274	-0.3344	0.1732	-0.3760	-0.1065	-0.2279	-0.3369	-0.6535	-0.3288	-0.3002
ATR_003_set18__54	0.1988	0.6180	-0.5106	1.2759	-0.9631	0.1757	0.1632	0.1429	0.2890	0.3209
ATR_003_set18__81	0.3708	0.6076	-0.5898	0.1690	-0.9471	0.3306	0.2918	0.3267	0.4599	0.4367
ATR_003_set18__97	0.0720	0.0877	0.2228	-0.0179	0.3701	-0.0406	0.1221	0.1275	0.0284	0.0668
ATR_003_set19__169	-0.3428	-0.1548	-0.7109	0.2983	-1.1121	-0.0954	-0.1513	-0.2401	-0.3266	-0.4622
