mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
Endothelial_LymphaticEC	1	4	2	0	0	0	0	0	0	0	1	0	0	9	12	0	0	0	0	5	0	0	2	4	45	201	0	1	1	0	0	1	1	0
Endothelial_LymphaticEC_cellcycle	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0
Endothelial_VeinEC	0	1	2	0	0	0	1	0	0	0	2	0	0	4	7	0	1	1	17	9	0	0	7	10	41	5	3	13	5	0	2	0	0	0
Endothelial_VeinEC_pulmonary	1	3	1	0	0	1	0	1	1	0	0	0	0	3	5	0	0	3	4	5	1	2	18	12	26	2	5	11	82	1	2	0	0	0
Endothelial_cellcycle_1	0	6	2	0	0	0	0	0	24	0	3	0	0	0	9	0	0	0	3	2	0	0	0	2	602	2	2	49	6	0	0	0	1	1
Pericytes_1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	1	4	4	10	0	1	0	0	0	0	2	0	0	12	5	0	0	0	0	0
Pericytes_2	1	20	3	0	2	4	3	2	5	3	2	4	0	1	7	11	7	27	6	11	2	17	2	11	66	5	4	1508	428	4	0	2	1	5
Pericytes_3	0	4	1	0	0	1	1	0	5	0	1	1	0	0	5	0	0	3	1	6	0	5	0	9	8	0	0	153	93	0	0	0	0	1
Pericytes_cellcycle	1	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	2	0	3	0	0	2	2	6	0	0	83	7	0	1	0	0	0
SMC_1	0	0	0	0	0	0	0	1	0	0	0	1	1	8	6	0	0	2	0	6	0	0	0	1	0	0	0	2	22	0	0	0	0	2
