disease_module	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
Cardiac TF (CHD)	-0.4818	1.1005	0.9744	0.9677	-0.0669	0.3188	0.3916	1.0247	0.8206	0.3801	0.9921	0.3061	-0.3716	1.5113	1.5431	0.2306	0.8752	0.7631	1.2860	1.5658	1.6820	1.6507	1.4022	1.4125	1.2632	1.5302	1.3408	1.4866	1.0925	1.2952	1.3324	1.5478	1.4053	0.4883
Sarcomere / CM structural	-0.6426	-0.7359	-0.6489	-0.6907	-0.8103	-0.6519	-0.5603	-0.6979	-0.7017	-0.7705	-0.6024	-0.5750	-0.3970	0.5638	0.4985	-0.7487	-0.6807	-0.6238	0.7530	0.4034	0.3271	0.1653	0.5969	0.5999	0.6465	0.5546	0.6101	0.5821	-0.2865	0.6546	0.6465	0.5267	0.6061	-0.7275
Conduction / channel	-1.0766	-1.6297	-1.6916	-1.6826	-1.3619	-1.6859	-1.7180	-1.6787	-1.7042	-1.5537	-1.7208	-1.7111	-1.4733	0.0140	-0.0320	-1.5264	-1.6889	-1.6930	-0.9320	-1.2490	-1.3784	-1.4236	0.2905	0.1737	0.5313	0.0307	0.4451	0.0907	-1.8092	0.4939	0.4246	-0.0802	0.3692	-1.5776
Notch / valve	1.7042	0.3533	0.4656	0.4526	1.4825	1.0080	1.1392	0.4257	0.6674	1.2489	0.4446	1.0317	0.8199	-0.3037	-0.3176	1.3439	0.5849	0.5391	-0.2841	0.1102	-0.2263	-0.1028	-0.7188	-0.6304	-0.7557	-0.5384	-0.6872	-0.5701	0.5052	-0.7584	-0.7564	-0.5443	-0.6823	1.2382
Aortic / smooth muscle	-0.0418	0.6152	0.7202	0.6962	0.3670	0.2773	0.3291	0.5951	0.6367	0.1952	0.6678	0.7326	0.0590	-1.4893	-1.4929	0.3006	0.7397	0.9298	-1.2749	-0.8993	-0.3261	-0.4353	-1.4345	-1.4876	-1.4397	-1.4275	-1.4459	-1.4485	0.0593	-1.4148	-1.4143	-1.4224	-1.4031	0.1424
Chromatin (PCGC)	0.5386	0.2967	0.1803	0.2568	0.3897	0.7336	0.4183	0.3311	0.2812	0.5000	0.2186	0.2157	1.3630	-0.2962	-0.1990	0.4001	0.1698	0.0847	0.4520	0.0689	-0.0783	0.1457	-0.1363	-0.0681	-0.2455	-0.1496	-0.2630	-0.1408	0.4387	-0.2705	-0.2328	-0.0275	-0.2951	0.4361
