mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
ACM_left_trabecular_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3550	0.0484	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0332
ACM_left_trabecular_2	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0027	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0087
ACM_right_compact_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACM_right_compact_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACM_right_compact_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0519	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ACM_right_trabecular_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0000
ACM_right_trabecular_2	0.0061	0.0000	0.0001	0.0000	0.0018	0.0019	0.0111	0.0000	0.0002	0.0000	0.0000	0.0003	0.0000	0.0148	0.1667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0914	0.0477
AV_Tz_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AV_Tz_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AV_bundle	0.0031	0.0000	0.0000	0.0000	0.0018	0.0012	0.0267	0.0000	0.0000	0.0000	0.0004	0.0000	0.0870	0.0002	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0108	0.0014
AV_node	0.0031	0.0001	0.0000	0.0000	0.0000	0.0005	0.0039	0.0000	0.0000	0.0000	0.0000	0.0005	0.0435	0.0095	0.0104	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1882	0.0159
PF_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PF_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014
SAN_head	0.0031	0.0000	0.0000	0.0000	0.0000	0.0007	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0061	0.0071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0448
SAN_tail	0.0000	0.0001	0.0003	0.0000	0.0000	0.0002	0.0007	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0318
AV_Tz_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SAN_Tz	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0054	0.0130
VCM_transition_1	0.0000	0.0018	0.0020	0.0022	0.0009	0.0021	0.0085	0.0060	0.0002	0.0008	0.0004	0.0003	0.0109	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014
CFB_DMP_1	0.0398	0.0173	0.0049	0.0004	0.0064	0.0075	0.0150	0.0661	0.0015	0.0021	0.0107	0.0095	0.0217	0.0097	0.0101	0.0338	0.0566	0.0462	0.1037	0.1967	0.8514	0.1886	0.0712	0.0291	0.0127	0.2046	0.0403	0.0078	0.1669	0.1751	0.1514	0.0297	0.0108	0.1127
CFB_DMP_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0006	0.0000	0.0003	0.0000	0.0000	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0014
CFB_DMP_3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CFB_OFT_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
CFB_atrium	0.0214	0.0020	0.0009	0.0000	0.0037	0.0035	0.0039	0.0390	0.0004	0.0004	0.0037	0.0019	0.0435	0.0048	0.0087	0.0159	0.0507	0.3445	0.2572	0.3023	0.1074	0.1380	0.0905	0.0271	0.0198	0.0063	0.0875	0.0599	0.2772	0.0643	0.0400	0.0037	0.0054	0.0231
CFB_mature	0.0000	0.0110	0.0020	0.0004	0.0009	0.0012	0.0026	0.0180	0.0004	0.0008	0.0029	0.0011	0.0109	0.0068	0.0030	0.8052	0.4392	0.2724	0.1134	0.2847	0.0063	0.3753	0.0193	0.0053	0.0110	0.0422	0.0125	0.0255	0.0043	0.4568	0.1543	0.0260	0.0000	0.0029
CFB_progenitors	0.0031	0.0015	0.0000	0.0000	0.0018	0.0012	0.0065	0.0240	0.0000	0.0000	0.0000	0.0016	0.0109	0.0034	0.0027	0.0147	0.0093	0.0335	0.0987	0.1063	0.0233	0.2367	0.0122	0.0067	0.0006	0.0211	0.0111	0.0014	0.0061	0.1257	0.0200	0.0037	0.0000	0.0101
FB_cellcycle	0.0917	0.0238	0.0069	0.0009	0.0074	0.0026	0.0169	0.0961	0.0010	0.0004	0.0144	0.0111	0.0761	0.0078	0.0071	0.1049	0.3083	0.1371	0.0607	0.0430	0.0036	0.0139	0.0039	0.0298	0.0068	0.0148	0.0167	0.0300	0.0106	0.0216	0.0286	0.0074	0.0484	0.0130
VIC_NC_derived_mescenchyme	0.0092	0.0001	0.0000	0.0000	0.0009	0.0002	0.0013	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0009	0.0016	0.0017	0.0071	0.1438	0.0086	0.0000	0.0139	0.0039	0.0053	0.0003	0.0000	0.0111	0.0003	0.0020	0.0010	0.0000	0.0000	0.0000	0.0014
VIC_free_segments_1	0.0214	0.0003	0.0000	0.0000	0.0046	0.0026	0.0046	0.0661	0.0000	0.0000	0.0004	0.0008	0.0543	0.0006	0.0009	0.0000	0.0008	0.0033	0.1088	0.0010	0.0000	0.0000	0.0006	0.0080	0.0003	0.0021	0.0222	0.0010	0.0008	0.0000	0.0000	0.0000	0.0054	0.0000
VIC_free_segments_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0017	0.0000	0.0028	0.0131	0.0010	0.0000	0.0030	0.0013	0.0007	0.0000	0.0000	0.0014	0.0000	0.0010	0.0005	0.0000	0.0000	0.0000	0.0014
VIC_free_segments_3	0.0061	0.0000	0.0000	0.0000	0.0009	0.0002	0.0020	0.0150	0.0000	0.0004	0.0000	0.0003	0.0000	0.0002	0.0008	0.0002	0.0000	0.0057	0.0282	0.0024	0.0009	0.0006	0.0006	0.0043	0.0000	0.0000	0.0069	0.0000	0.0038	0.0000	0.0029	0.0000	0.0000	0.0000
VIC_valve_roots	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0006	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_AtrialEC	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0006	0.0047	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_AtrialSeptumEC_endocardial	0.0000	0.0000	0.0000	0.0004	0.0000	0.0005	0.0000	0.0030	0.0000	0.0000	0.0000	0.0013	0.0000	0.0032	0.0039	0.0002	0.0000	0.0000	0.0004	0.0007	0.0000	0.0000	0.0116	0.0194	0.0000	0.0000	0.0083	0.0003	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_IFT_VEC	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0008	0.0000	0.0000	0.0028	0.0097	0.0003	0.0000	0.0006	0.0282	0.0127	0.0000	0.0000	0.1000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_OFT_VEC	0.0031	0.0000	0.0000	0.0000	0.0018	0.0002	0.0013	0.0270	0.0000	0.0000	0.0021	0.0019	0.0000	0.0017	0.0014	0.0002	0.0008	0.0203	0.0097	0.0007	0.0000	0.0000	0.0841	0.1588	0.0006	0.0021	0.3667	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_VentricularEC_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0009	0.0017	0.0000	0.0000	0.0000	0.0167	0.0201	0.0003	0.0000	0.0083	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_VentricularEC_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0013	0.0000	0.0000	0.0000	0.0135	0.0100	0.0000	0.0000	0.0153	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
Endocardial_VentricularEC_3	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0002	0.0000	0.0004	0.0005	0.0000	0.0017	0.0023	0.0002	0.0000	0.0405	0.0067	0.0028	0.0000	0.0000	0.5366	0.3581	0.0025	0.0000	0.1806	0.0010	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000
Endothelial_cellcycle_2	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0060	0.0000	0.0000	0.0025	0.0008	0.0000	0.0008	0.0011	0.0000	0.0008	0.0024	0.0013	0.0007	0.0000	0.0000	0.0071	0.0622	0.0008	0.0000	0.0056	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000
Endothelial_AorticEC_endothelial	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0004	0.0000	0.0000	0.0005	0.0000	0.0010	0.0017	0.0002	0.0000	0.0009	0.0008	0.0028	0.0000	0.0000	0.0160	0.0013	0.0096	0.0021	0.0125	0.0078	0.0215	0.0014	0.0029	0.0000	0.0000	0.0000
Endothelial_ArtEC_mature	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0090	0.0011	0.0004	0.0004	0.0016	0.0000	0.0004	0.0044	0.0000	0.0017	0.0009	0.0017	0.0034	0.0000	0.0000	0.0180	0.0047	0.0314	0.0042	0.0139	0.0068	0.0576	0.0043	0.0000	0.0000	0.0000	0.0000
Endothelial_ArtEC_preArtery_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0002	0.0004	0.0000	0.0000	0.0000	0.0008	0.0017	0.0000	0.0017	0.0005	0.0013	0.0010	0.0000	0.0000	0.0026	0.0053	0.0461	0.0000	0.0056	0.0058	0.0083	0.0010	0.0000	0.0000	0.0000	0.0029
Endothelial_ArtEC_preArtery_2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0004	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0291	0.0021	0.0014	0.0017	0.0008	0.0005	0.0000	0.0000	0.0000	0.0000
Endothelial_CapEC_SV	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0008	0.0000	0.0000	0.0006	0.0003	0.0002	0.0017	0.0005	0.0008	0.0000	0.0000	0.0000	0.0019	0.0000	0.0438	0.0084	0.0014	0.0031	0.0005	0.0010	0.0000	0.0000	0.0000	0.0000
Endothelial_CapEC_endo	0.0000	0.0003	0.0008	0.0000	0.0000	0.0000	0.0007	0.0000	0.0008	0.0004	0.0000	0.0000	0.0000	0.0019	0.0032	0.0010	0.0025	0.0019	0.0021	0.0024	0.0000	0.0024	0.0071	0.0017	0.2967	0.0105	0.0069	0.0170	0.0048	0.0029	0.0057	0.0074	0.0000	0.0029
Endothelial_LiverSinusoidalEC	0.0031	0.0002	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0002	0.0000	0.0004	0.0000	0.0000	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0003	0.0079	0.0000	0.0014	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Endothelial_LymphaticEC	0.0031	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0017	0.0018	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0013	0.0013	0.0127	0.4241	0.0000	0.0003	0.0003	0.0000	0.0000	0.0037	0.0054	0.0000
Endothelial_LymphaticEC_cellcycle	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0042	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000
