mapped_celltype	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vCM-IVS-His	aCM-LA	aCM-RA	Compact vFibro	Proliferating vFibro	Trabecular vFibro	VIC	aFibro	adFibro	EPDC	aEndocardial	vEndocardial	BEC	LEC	VEC	Pericyte	VSMC	Epicardial	Neuronal	WBC	ncCM-AVC-like	ncCM-IFT-like
Endothelial_VeinEC	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0008	0.0011	0.0000	0.0008	0.0005	0.0072	0.0031	0.0000	0.0000	0.0045	0.0033	0.0116	0.0105	0.0042	0.0044	0.0013	0.0000	0.0057	0.0000	0.0000	0.0000
Endothelial_VeinEC_pulmonary	0.0031	0.0001	0.0001	0.0000	0.0000	0.0002	0.0000	0.0030	0.0002	0.0000	0.0000	0.0000	0.0000	0.0006	0.0008	0.0000	0.0000	0.0014	0.0017	0.0017	0.0009	0.0012	0.0116	0.0040	0.0073	0.0042	0.0069	0.0037	0.0207	0.0005	0.0057	0.0000	0.0000	0.0000
Endothelial_cellcycle_1	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0046	0.0000	0.0012	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0013	0.0007	0.0000	0.0000	0.0000	0.0007	0.1701	0.0042	0.0028	0.0167	0.0015	0.0000	0.0000	0.0000	0.0054	0.0014
Pericytes_1	0.0000	0.0001	0.0000	0.0000	0.0000	0.0002	0.0007	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0008	0.0034	0.0047	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0041	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000
Pericytes_2	0.0031	0.0010	0.0004	0.0000	0.0018	0.0009	0.0020	0.0060	0.0010	0.0013	0.0008	0.0011	0.0000	0.0002	0.0011	0.0021	0.0059	0.0127	0.0025	0.0038	0.0018	0.0102	0.0013	0.0037	0.0186	0.0105	0.0056	0.5134	0.1081	0.0019	0.0000	0.0074	0.0054	0.0072
Pericytes_3	0.0000	0.0002	0.0001	0.0000	0.0000	0.0002	0.0007	0.0000	0.0010	0.0000	0.0004	0.0003	0.0000	0.0000	0.0008	0.0000	0.0000	0.0014	0.0004	0.0021	0.0000	0.0030	0.0000	0.0030	0.0023	0.0000	0.0000	0.0521	0.0235	0.0000	0.0000	0.0000	0.0000	0.0014
Pericytes_cellcycle	0.0031	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0008	0.0009	0.0000	0.0010	0.0000	0.0000	0.0013	0.0007	0.0017	0.0000	0.0000	0.0283	0.0018	0.0000	0.0029	0.0000	0.0000	0.0000
SMC_1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0003	0.0109	0.0015	0.0009	0.0000	0.0000	0.0009	0.0000	0.0021	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0007	0.0056	0.0000	0.0000	0.0000	0.0000	0.0029
SMC_2	0.0000	0.0003	0.0001	0.0000	0.0000	0.0002	0.0000	0.0000	0.0008	0.0004	0.0008	0.0011	0.0000	0.0008	0.0023	0.0000	0.0000	0.0009	0.0004	0.0010	0.0009	0.0000	0.0026	0.0030	0.0003	0.0000	0.0000	0.0163	0.1929	0.0000	0.0029	0.0000	0.0108	0.0058
SMC_3	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000
SMC_cellcycle	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0045	0.0000	0.0000	0.0000	0.0000	0.0000
Epicardial_0	0.0031	0.0012	0.0012	0.0004	0.0037	0.0009	0.0085	0.0030	0.0006	0.0000	0.0012	0.0008	0.0000	0.0011	0.0008	0.0016	0.0084	0.0047	0.0000	0.0010	0.0009	0.0018	0.0006	0.0040	0.0071	0.0042	0.0014	0.0027	0.0056	0.0518	0.0000	0.0037	0.0000	0.0072
Epicardial_1	0.0000	0.0012	0.0005	0.0000	0.0028	0.0009	0.0156	0.0030	0.0000	0.0000	0.0000	0.0013	0.0109	0.0000	0.0012	0.0004	0.0059	0.0038	0.0004	0.0007	0.0000	0.0000	0.0000	0.0027	0.0023	0.0000	0.0000	0.0014	0.0000	0.0110	0.0000	0.0000	0.0000	0.0014
Epicardial_2	0.0153	0.0040	0.0036	0.0013	0.0175	0.0026	0.0143	0.0060	0.0023	0.0008	0.0090	0.0016	0.0109	0.0000	0.0000	0.0041	0.0287	0.0090	0.0000	0.0007	0.0009	0.0006	0.0000	0.0080	0.0381	0.1435	0.0028	0.0238	0.0091	0.0456	0.0029	0.0000	0.0000	0.0014
Epicardial_3	0.0000	0.0006	0.0001	0.0000	0.0055	0.0012	0.0013	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0002	0.0003	0.0004	0.0000	0.0042	0.0030	0.0010	0.0000	0.0000	0.0013	0.0010	0.0000	0.0021	0.0014	0.0003	0.0000	0.0024	0.0000	0.0000	0.0000	0.0029
Epicardial_4	0.0061	0.0034	0.0011	0.0004	0.0009	0.0007	0.0007	0.0030	0.0010	0.0013	0.0029	0.0085	0.0000	0.0011	0.0011	0.0019	0.0076	0.0047	0.0000	0.0014	0.0000	0.0012	0.0013	0.0084	0.0045	0.0148	0.0000	0.0068	0.0043	0.0086	0.0000	0.0000	0.0000	0.0087
Epicardial_5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000
Epicardial_cellcycle	0.0000	0.0002	0.0001	0.0000	0.0009	0.0005	0.0046	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0003	0.0003	0.0014	0.0000	0.0000	0.0000	0.0072
Immune_mast_cell	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Immune_monocyte_1	0.0245	0.0056	0.0148	0.0013	0.0101	0.0035	0.0059	0.0090	0.0034	0.0034	0.0103	0.0016	0.0435	0.0067	0.0099	0.0033	0.0101	0.0061	0.0063	0.0038	0.0000	0.0030	0.0051	0.0043	0.0689	0.0295	0.0208	0.0092	0.0040	0.0077	0.0143	0.7732	0.0161	0.0564
Immune_monocyte_2	0.0031	0.0008	0.0012	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0012	0.0003	0.0000	0.0002	0.0005	0.0006	0.0000	0.0000	0.0004	0.0003	0.0000	0.0000	0.0019	0.0003	0.0051	0.0021	0.0000	0.0003	0.0008	0.0014	0.0000	0.0669	0.0000	0.0000
Immune_monocyte_cellcycle	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Macrophage	0.0000	0.0000	0.0003	0.0004	0.0000	0.0005	0.0007	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0021	0.0014	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	0.0000
Immune_B_cell	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Immune_NK_cell	0.0092	0.0026	0.0087	0.0013	0.0138	0.0009	0.0046	0.0240	0.0008	0.0017	0.0053	0.0003	0.0109	0.0038	0.0140	0.0004	0.0059	0.0028	0.0000	0.0003	0.0000	0.0000	0.0013	0.0003	0.0071	0.0021	0.0014	0.0017	0.0005	0.0014	0.0000	0.0037	0.0161	0.0303
Immune_T_cell_1	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Immune_T_cell_3	0.0153	0.0014	0.0017	0.0000	0.0028	0.0021	0.0046	0.0300	0.0004	0.0000	0.0029	0.0008	0.0109	0.0013	0.0038	0.0010	0.0051	0.0014	0.0008	0.0003	0.0000	0.0000	0.0013	0.0033	0.0014	0.0000	0.0014	0.0007	0.0003	0.0010	0.0000	0.0000	0.0215	0.0159
Immune_T_cell_4	0.0031	0.0008	0.0041	0.0000	0.0000	0.0005	0.0033	0.0030	0.0004	0.0017	0.0021	0.0000	0.0000	0.0078	0.0242	0.0002	0.0008	0.0009	0.0004	0.0003	0.0000	0.0006	0.0013	0.0000	0.0073	0.0000	0.0014	0.0020	0.0013	0.0019	0.0029	0.0037	0.0108	0.0260
SympatheticNeuron	0.0000	0.0012	0.0016	0.0009	0.0000	0.0000	0.0013	0.0030	0.0013	0.0004	0.0033	0.0008	0.0000	0.0040	0.0021	0.0000	0.0025	0.0014	0.0017	0.0000	0.0000	0.0006	0.0000	0.0003	0.0031	0.0021	0.0000	0.0048	0.0010	0.0000	0.1114	0.0000	0.0161	0.0043
SympatheticNeuron_nonadrenergic	0.0336	0.0065	0.0239	0.0018	0.0092	0.0023	0.0026	0.0390	0.0036	0.0101	0.0263	0.0037	0.0000	0.0226	0.0134	0.0002	0.0008	0.0000	0.0013	0.0010	0.0009	0.0012	0.0026	0.0013	0.0093	0.0148	0.0069	0.0255	0.0134	0.0034	0.1429	0.0037	0.0161	0.0636
SchwannCells_precursors	0.0183	0.0048	0.0139	0.0018	0.0165	0.0061	0.0098	0.0360	0.0030	0.0046	0.0140	0.0072	0.0217	0.0103	0.0153	0.0004	0.0025	0.0024	0.0021	0.0010	0.0000	0.0006	0.0032	0.0040	0.0192	0.0000	0.0000	0.0054	0.0045	0.0005	0.0029	0.0000	0.0054	0.0130
SchwannCells_premyelinating_1	0.0000	0.0005	0.0009	0.0000	0.0009	0.0009	0.0013	0.0060	0.0010	0.0004	0.0000	0.0005	0.0000	0.0030	0.0047	0.0000	0.0008	0.0009	0.0000	0.0010	0.0009	0.0000	0.0026	0.0017	0.0037	0.0000	0.0014	0.0000	0.0035	0.0005	0.0000	0.0000	0.0054	0.0043
SchwannCells_premyelinating_2	0.0000	0.0010	0.0021	0.0000	0.0000	0.0005	0.0020	0.0000	0.0002	0.0004	0.0008	0.0000	0.0109	0.0015	0.0020	0.0002	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0013	0.0007	0.0042	0.0000	0.0000	0.0007	0.0013	0.0000	0.0000	0.0000	0.0000	0.0101
SchwannCells_premyelinating_3	0.0000	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NC_progenitor	0.0245	0.0011	0.0008	0.0000	0.0009	0.0005	0.0039	0.0120	0.0002	0.0013	0.0016	0.0019	0.0000	0.0061	0.0020	0.0004	0.0025	0.0019	0.0042	0.0062	0.0000	0.0018	0.0032	0.0027	0.0020	0.0021	0.0000	0.0003	0.0045	0.0005	0.3000	0.0000	0.0000	0.0318
