gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
SCN5A	0.1446	0.1390	0.0462	0.0612	0.0509	0.1259	0.1798	0.1876	0.1923	0.0769	0.0220	0.0553	0.1036	0.3207	0.3694	0.0776	0.0893	0.0516	0.0836	0.1862	0.3033	0.0638	0.4305	0.3747	0.7363	0.6575	0.7338	0.7717	0.0276	0.3747	0.3168	0.2922	0.6228	0.2839
GJA1	1.0652	0.7475	0.1660	0.5574	2.3543	0.2767	0.9258	0.8195	0.7551	0.3410	0.1480	0.3367	0.6364	0.7291	0.4472	0.3700	0.1968	0.2762	0.0521	0.2212	0.2092	0.2910	1.5996	1.3852	1.9358	1.3063	1.6927	1.7090	0.2257	1.8935	1.4693	1.1112	1.8658	0.9474
NOTCH1	1.2210	0.4079	0.5810	0.3271	1.3723	0.9613	0.9252	0.4971	0.6935	0.9568	0.4473	0.6436	0.5123	0.1285	0.2016	0.8086	0.4052	0.3150	0.1326	0.1487	0.1275	0.0753	0.1388	0.1580	0.1563	0.2101	0.1772	0.1806	0.1052	0.1826	0.1223	0.1943	0.2135	0.8973
JAG1	0.2674	0.1691	0.4536	0.2944	0.3381	0.9224	0.3040	0.1419	0.3288	0.3520	0.1503	1.3434	0.1114	0.3545	0.3563	0.4461	0.4629	0.8404	0.0618	0.4422	0.0728	0.0464	0.0620	0.0621	0.0659	0.0952	0.1201	0.3156	0.0687	0.0747	0.0534	0.0779	0.0988	0.2894
DLL4	0.1177	0.0010	0.0014	0.0028	0.0415	0.0045	0.0187	0.0034	0.0074	0.0453	0.0039	0.0342	0.0048	0.0029	0.0046	0.0569	0.0044	0.0010	0.0037	0.0018	0.0002	0.0045	0.0011	0.0010	0.0005	0.0005	0.0005	0.0004	0.0162	0.0017	0.0011	0.0025	0.0026	0.0454
MYH11	0.0445	0.0253	0.1396	0.0360	0.0867	0.0619	0.0753	0.0337	0.0556	0.0620	0.0289	1.9030	0.0665	0.0260	0.0284	0.0868	0.0836	0.1268	0.0188	0.1488	0.0276	0.0073	0.0194	0.0200	0.0201	0.0170	0.0220	0.0211	0.0308	0.0290	0.0172	0.0232	0.0342	0.0547
ACTA2	0.1338	0.2595	0.3201	0.2310	0.1176	0.2159	0.6009	0.3013	0.4419	0.1310	0.4247	0.8850	0.0675	0.9798	0.8938	0.1185	0.4150	0.2991	0.9151	0.6801	0.3329	0.3732	0.2504	0.2933	0.3035	0.3822	0.4040	0.4334	0.3667	0.3370	0.3313	0.3313	0.4020	0.2192
FBN1	0.8236	1.9873	2.1307	1.9246	1.4178	1.1610	1.3033	1.6353	1.8035	1.3506	1.8625	1.8142	0.2562	0.1661	0.1869	1.4812	1.9834	2.1595	0.2646	0.4466	0.6203	0.4803	0.1373	0.0680	0.0189	0.1344	0.0717	0.1978	0.7420	0.0418	0.0376	0.1365	0.1153	1.1630
ELN	0.2942	0.5209	0.7723	0.7122	0.5655	0.4065	0.4859	0.5770	0.7980	0.7533	0.8753	1.6806	0.0848	0.0902	0.1141	0.8183	0.8753	0.9257	0.1391	0.2271	0.2083	0.1976	0.0673	0.0406	0.0131	0.0743	0.0406	0.1000	0.3389	0.0309	0.0239	0.0886	0.0749	0.6191
CHD7	1.0412	0.1514	0.1079	0.1199	0.6836	0.6122	0.4528	0.2364	0.2815	0.7038	0.2348	0.3026	0.8043	0.7572	0.7753	0.6991	0.1601	0.0658	0.7354	0.6387	0.5675	0.5986	0.6213	0.6839	0.6634	0.7166	0.6711	0.6925	0.6197	0.6629	0.6489	0.7315	0.6788	0.7603
KMT2D	0.1725	0.0994	0.1041	0.0947	0.1497	0.1109	0.1358	0.1044	0.1031	0.1464	0.1093	0.1299	0.1432	0.1191	0.1270	0.1561	0.1076	0.1035	0.1466	0.1427	0.1177	0.1530	0.1124	0.1330	0.1072	0.1334	0.1076	0.0963	0.1260	0.1134	0.1125	0.1448	0.1155	0.1486
CHD4	0.1948	0.1428	0.1091	0.1405	0.1802	0.1917	0.2067	0.1609	0.1512	0.1528	0.1340	0.1497	0.1208	0.1893	0.1928	0.1466	0.1062	0.0930	0.3123	0.2061	0.2637	0.2968	0.2649	0.3469	0.2523	0.3347	0.2615	0.2147	0.2685	0.2821	0.3091	0.3452	0.2774	0.2084
