gene	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
PLN	-0.9697	-1.0040	-1.0696	-1.1401	-0.9956	-1.0926	-1.0479	-1.0064	-1.0475	-1.0571	-1.1285	-1.0782	-0.8992	-0.3323	-0.3694	-1.0488	-1.0853	-1.1892	-0.6679	-0.7687	-1.1744	-1.0320	-0.3700	-0.4390	-0.2183	-0.4782	-0.3172	-0.4917	-1.1220	-0.1686	-0.2071	-0.5626	-0.2597	-0.9944
SCN5A	-1.2266	-0.9970	-1.1891	-1.1525	-1.3148	-1.1083	-1.2574	-1.0441	-1.1745	-1.0700	-1.2465	-1.4754	-1.0000	0.4943	0.5449	-1.2461	-1.2054	-1.3963	0.0451	-0.2163	-0.6400	-0.8261	0.5654	0.4378	0.7788	0.4259	0.7426	0.5815	-1.1490	0.6807	0.6092	0.1707	0.5890	-1.0137
GJA1	-0.4034	-1.2316	-1.2923	-1.2187	-0.3715	-1.2489	-1.5802	-1.3076	-1.3398	-1.0822	-1.3455	-1.3452	-1.3046	-0.9881	-1.0798	-0.9267	-1.3004	-0.9648	-1.7469	-1.5268	-1.6220	-1.4859	-0.7086	-0.7527	-0.5188	-0.9164	-0.6351	-0.9884	-1.4063	-0.5014	-0.5493	-0.8163	-0.6156	-1.0511
NOTCH1	3.1516	1.4499	1.5062	1.4925	3.2861	2.2471	2.3160	1.5179	1.6844	2.1828	1.4955	2.0609	2.6226	0.1735	0.2405	2.2015	1.6144	1.2977	0.3752	0.6924	0.6116	1.0589	0.1172	0.2404	-0.0921	0.3859	0.0723	0.3633	1.6790	-0.0853	-0.0646	0.4172	0.1167	2.0897
JAG1	0.8922	-0.1331	0.0385	0.0079	0.2671	0.1836	0.4242	-0.0740	0.2315	0.5519	0.0427	0.7925	0.0615	-0.1409	-0.2058	0.7191	0.2325	0.5095	-0.6019	0.0247	-0.6649	-0.7821	-1.2105	-1.1589	-1.1907	-0.8747	-1.0286	-0.7872	-0.2163	-1.1816	-1.1065	-1.0015	-1.0165	0.4936
DLL4	1.8965	-0.5933	-0.5568	-0.5358	0.2921	0.0765	0.3590	-0.5528	-0.3382	0.4590	-0.6200	-0.0012	-0.1426	-1.3861	-1.3894	0.6686	-0.5042	-0.6575	-1.1342	-1.1833	-1.1643	-1.1733	-1.4227	-1.3167	-1.4653	-1.3826	-1.4631	-1.4948	-0.7409	-1.4483	-1.5209	-1.3273	-1.4876	0.2755
MYH11	0.1113	-0.3325	-0.3880	-0.3384	-0.0183	-0.4298	-0.1657	-0.3170	-0.1440	0.2597	-0.4166	0.1708	0.3180	-1.2777	-1.1094	0.4742	-0.2209	-0.1749	-0.8383	-0.7681	-0.6325	-0.8315	-1.0958	-1.0979	-1.0683	-1.0506	-1.0549	-1.1174	-0.6331	-1.0150	-1.0409	-1.0175	-0.9873	0.2094
ACTA2	-0.0919	0.1989	0.3269	0.2610	0.0646	0.0420	0.4887	0.2121	0.3017	-0.4504	0.3838	0.3261	0.9300	-0.8779	-1.0840	-0.4952	0.3681	0.3547	-0.8538	-0.5679	-0.2855	-0.5777	-1.3184	-1.2960	-1.3264	-1.1321	-1.2499	-1.1186	-0.2286	-1.2680	-1.2784	-1.2051	-1.2710	-0.4507
FBN1	0.1571	0.5214	0.5466	0.4925	0.3616	0.2781	0.0436	0.3811	0.4219	0.1943	0.2891	0.3929	-1.1600	-1.1787	-1.0980	0.3465	0.4429	0.5458	-1.0169	-0.4900	-0.8822	-0.8525	-1.7921	-1.8218	-1.8841	-1.6517	-1.7535	-1.4308	-0.2494	-1.8372	-1.7797	-1.6415	-1.6763	0.0040
ELN	0.7238	1.2928	1.5731	1.5587	1.3857	1.2671	0.9850	1.3864	1.4316	1.0354	1.6286	1.8834	0.6467	-1.5192	-1.5462	1.1412	1.6631	1.9024	-1.5353	-0.9232	-0.0745	0.2033	-1.3239	-1.2701	-1.6087	-1.0262	-1.4732	-1.2101	0.9032	-1.5851	-1.5562	-1.0638	-1.3941	0.9586
CHD7	1.6582	0.3418	0.1055	0.2125	0.9369	1.2045	0.6660	0.4005	0.4389	0.9365	0.2751	0.3386	1.9768	0.2891	0.2437	0.8544	0.2260	-0.2211	1.0372	0.6764	0.2720	0.4632	0.2060	0.2981	0.1165	0.1779	0.0592	0.3193	0.5798	0.1641	0.2115	0.3831	0.1524	0.9837
KMT2D	0.0339	-0.5511	-0.5979	-0.5651	-0.3117	-0.5580	-0.4666	-0.6028	-0.5802	-0.4011	-0.6237	-0.5742	0.3015	-1.3721	-1.3043	-0.3830	-0.5950	-0.5850	-1.0472	-1.4683	-1.0223	-0.9898	-1.2298	-1.1783	-1.3011	-1.3224	-1.3335	-1.3733	-0.8335	-1.2840	-1.2325	-1.1971	-1.3468	-0.5432
CHD4	0.7334	0.8167	0.8574	0.9024	0.7708	1.2450	1.0438	0.8948	0.8480	0.9423	0.7652	0.9806	1.6837	-0.2559	-0.0648	0.8659	0.7804	1.0008	0.0029	0.2604	-0.1880	0.1138	-0.1641	-0.1224	-0.3194	0.0489	-0.1782	-0.0147	0.8446	-0.4327	-0.4375	-0.0473	-0.3285	0.7217
