disease_module	BEC	Compact vFibro	EPDC	Epicardial	LEC	Neuronal	Pericyte	Proliferating vFibro	Trabecular vFibro	VEC	VIC	VSMC	WBC	aCM-LA	aCM-RA	aEndocardial	aFibro	adFibro	ncCM-AVC-like	ncCM-IFT-like	vCM-IVS-His	vCM-LV-AV	vCM-LV-Compact I	vCM-LV-Compact II	vCM-LV-Hybrid	vCM-LV-Trabecular I	vCM-LV-Trabecular II	vCM-LV/RV-Purkinje	vCM-RV-AV	vCM-RV-Compact	vCM-RV-Hybrid	vCM-RV-Proliferating	vCM-RV-Trabecular	vEndocardial
Cardiac TF (CHD)	1.2764	2.2602	2.1384	2.0547	1.4036	1.7314	1.8884	2.2324	2.1630	2.0544	2.2560	1.8275	0.9879	2.8115	2.7377	2.0015	2.1241	1.7599	2.5731	2.3245	2.3210	2.2529	2.8410	2.5655	3.0059	2.5076	2.8062	2.4926	2.0660	2.8803	2.7430	2.5087	2.8330	2.0897
Sarcomere / CM structural	1.1534	1.2017	1.1925	1.1779	1.0993	1.2534	1.3062	1.2387	1.2237	1.2897	1.2473	1.2811	0.9740	2.2759	2.1701	1.3132	1.1968	1.1392	2.2858	1.9096	1.7015	1.6307	2.3261	2.1157	2.5324	2.0425	2.3320	2.0527	1.4635	2.4261	2.2832	2.0170	2.3327	1.4108
Conduction / channel	0.8214	0.6864	0.5849	0.6535	0.8736	0.7443	0.5981	0.6729	0.6052	0.7691	0.5398	0.5765	0.3848	1.9651	1.8819	0.7666	0.5958	0.6607	1.3776	1.3199	0.9216	0.9651	2.1303	1.8798	2.4440	1.7928	2.2249	1.8137	0.7983	2.3121	2.1344	1.7248	2.1844	0.9361
Notch / valve	2.9486	1.8295	1.8419	1.7824	2.0377	2.0708	2.3457	1.8868	2.0684	2.6318	1.9097	2.2775	1.6401	1.7856	1.7267	2.7839	1.9511	1.6597	1.7268	1.8050	1.4484	1.5184	1.4850	1.4346	1.4559	1.5215	1.4901	1.4922	1.8095	1.4242	1.3426	1.5013	1.5262	2.5084
Aortic / smooth muscle	1.6130	1.9805	1.9903	1.9112	1.5812	1.7110	1.8502	1.9846	2.0495	1.9315	2.0508	2.0920	1.2236	1.1154	1.0882	2.0507	2.0433	1.8345	1.1929	1.4447	1.4028	1.3791	1.0275	0.9601	0.9308	1.0977	0.9977	1.0650	1.6146	0.9588	0.9016	1.0785	1.0750	1.8965
Chromatin (PCGC)	2.0570	1.7969	1.6756	1.6788	1.5905	1.9357	1.9048	1.8323	1.8302	2.1340	1.7667	1.7715	1.9374	1.7898	1.7911	2.1206	1.7036	1.4563	2.1235	1.7903	1.5161	1.6225	1.8574	1.7459	1.8476	1.7068	1.7654	1.7011	1.7804	1.7701	1.6937	1.7502	1.7685	2.0605
