	CHD	CardiovascularDisease	PCGC_DeNovoVariants
ATR_062_set8__590	-0.0608	-0.6400	-0.1330
ATR_062_set8__696	-0.0365	0.2489	-0.1753
ATR_062_set8__746	-0.0521	0.0671	-0.1443
ATR_063_set10__172	-0.0611	0.4876	-0.1233
ATR_063_set10__62	0.2537	-0.4951	0.3925
ATR_063_set10__65	-0.1509	0.4757	-0.2556
ATR_063_set11__213	-0.0446	0.7576	-0.0357
ATR_063_set11__254	-0.2239	0.2955	-0.1546
ATR_063_set11__272	-0.1914	-0.0072	-0.1953
ATR_063_set11__328	0.2625	0.1553	0.2341
ATR_063_set11__345	0.5017	-0.4360	0.2187
ATR_063_set11__374	0.1305	0.6381	0.1046
ATR_063_set11__394	-0.0794	0.3938	-0.0955
ATR_063_set11__401	-0.0535	0.1509	-0.0718
ATR_063_set11__447	0.2813	0.4781	0.1382
ATR_063_set11__478	0.4033	0.6039	0.4352
ATR_063_set11__493	-0.4767	0.4218	-0.6026
ATR_063_set11__497	0.1366	-0.3838	0.1932
ATR_063_set11__517	0.3725	-0.3378	0.2857
ATR_063_set13__10	0.2211	-0.2130	0.2184
ATR_063_set13__104	0.5127	-0.2953	0.4413
ATR_063_set13__117	0.3945	-0.6311	0.3261
ATR_063_set13__119	0.1145	-0.5275	0.1021
ATR_063_set13__189	0.3050	-0.4399	0.3357
ATR_063_set13__258	0.0332	-0.2983	0.2358
ATR_063_set13__301	0.1160	-0.4898	0.1381
ATR_063_set13__400	0.3385	-0.5220	0.2502
ATR_063_set13__508	-0.5034	-0.7156	-0.4150
ATR_063_set13__577	-0.3237	-0.6155	-0.0927
ATR_063_set13__582	-0.1947	-0.7286	-0.0880
ATR_063_set13__659	-0.2834	-0.7221	-0.0626
ATR_063_set13__673	0.0813	-0.5562	0.0643
ATR_063_set13__695	0.0973	-0.5801	0.1441
ATR_063_set16__232	-0.2078	-0.6758	-0.2256
ATR_063_set16__344	-0.1947	-0.6154	-0.2162
ATR_063_set16__463	-0.0957	-0.6450	-0.1144
ATR_063_set16__609	-0.2633	-0.2712	-0.1763
ATR_063_set16__656	-0.2226	0.0696	-0.2771
ATR_063_set16__706	-0.5202	-0.3605	-0.4892
ATR_063_set16__76	-0.0116	-0.6883	-0.1513
ATR_063_set17__184	0.4810	-0.3774	0.4845
ATR_063_set17__221	0.3128	-0.5854	0.1505
ATR_063_set17__23	-0.0555	-0.7069	-0.0708
ATR_063_set17__28	0.1062	-0.6238	0.0256
ATR_063_set17__286	-0.1204	-0.5959	-0.0073
ATR_063_set17__30	-0.2769	-0.7036	-0.2618
ATR_063_set17__334	0.0931	-0.3937	-0.0792
ATR_063_set17__383	-0.0712	-0.6604	-0.1221
ATR_063_set17__394	-0.0527	-0.5785	0.0810
ATR_063_set17__412	0.0913	-0.6371	0.0859
ATR_063_set17__456	0.0494	-0.6444	-0.0413
ATR_063_set17__464	-0.0149	-0.7054	-0.1029
ATR_063_set17__474	0.0259	-0.5587	0.1274
ATR_063_set17__478	0.1769	-0.6700	0.1257
ATR_063_set17__501	-0.1795	-0.8369	-0.3762
ATR_063_set17__563	0.1887	-0.6080	0.2662
ATR_063_set17__577	0.1000	-0.6880	0.1575
ATR_063_set18__194	0.2591	0.2373	0.0885
ATR_063_set18__269	0.1430	0.0814	0.0348
ATR_063_set18__94	0.0305	-0.7970	-0.1463
ATR_063_set1__115	0.1849	-0.6132	0.1575
ATR_063_set1__129	0.2988	0.3984	0.2534
ATR_063_set1__188	0.2663	0.5903	0.2420
ATR_063_set1__225	0.1630	0.6449	0.1698
ATR_063_set1__312	0.0345	0.5652	-0.0096
ATR_063_set1__315	0.1517	0.5448	0.1493
ATR_063_set1__380	0.4485	-0.5030	0.4674
ATR_063_set1__428	0.1833	0.5847	0.1442
ATR_063_set1__504	0.2255	0.2442	0.2592
ATR_063_set1__54	0.3507	0.4893	0.2954
ATR_063_set1__555	0.1457	0.4490	0.1469
ATR_063_set20__144	-0.3032	0.0958	-0.3097
ATR_063_set20__183	0.4801	0.6598	0.1647
ATR_063_set20__271	-0.3479	-0.1564	-0.2665
ATR_063_set20__388	-0.0810	0.1840	-0.0282
ATR_063_set20__68	0.0316	0.3537	0.1058
ATR_063_set20__90	0.2544	0.5021	0.1732
ATR_063_set2__198	-0.2569	0.2463	-0.2449
ATR_063_set2__257	0.0620	0.4199	0.0077
ATR_063_set2__59	-0.0396	-0.7522	-0.0117
ATR_063_set4__113	0.3537	0.8007	-0.1707
ATR_063_set4__184	-0.6345	-0.1501	-0.6424
ATR_063_set4__216	-0.1187	-0.1299	-0.1896
ATR_063_set4__268	0.1309	-0.6049	0.1396
ATR_063_set4__317	0.1290	0.3947	0.1598
ATR_063_set4__38	0.1333	0.8073	0.1129
ATR_063_set4__455	-0.0612	-0.7668	-0.1621
ATR_063_set6__125	0.0254	-0.3611	0.0454
ATR_063_set6__138	-0.0579	-0.7214	0.1241
ATR_063_set6__325	0.0823	0.5836	0.0531
ATR_063_set6__347	0.3001	-0.4262	0.2172
ATR_063_set6__351	-0.0741	-0.6656	-0.2210
ATR_063_set6__383	-0.2640	-0.6972	-0.2373
ATR_063_set6__492	-1.0679	-0.0359	-0.5322
ATR_063_set6__53	0.0062	-0.5317	0.1287
ATR_063_set6__63	0.1596	0.4037	0.1087
ATR_063_set7__159	0.2353	-0.5531	0.0923
ATR_063_set7__175	0.0933	-0.5264	0.0928
ATR_063_set7__347	-0.3666	-0.8430	-0.4502
ATR_063_set7__355	-0.0455	-0.7312	-0.1950
ATR_063_set7__44	0.3597	-0.4781	0.3137
ATR_063_set7__462	0.4619	-0.4595	0.3147
ATR_063_set7__485	0.3040	-0.6206	0.1425
ATR_063_set7__528	0.4111	-0.4799	0.2332
ATR_063_set7__552	-0.3240	-0.7130	-0.2747
ATR_063_set8__103	0.3345	-0.5006	0.2574
ATR_063_set8__121	0.2236	-0.4089	0.3685
ATR_063_set8__133	-0.0767	-0.5967	-0.0156
ATR_063_set8__182	0.3773	-0.4512	0.2049
ATR_063_set8__262	0.2839	-0.4835	0.1163
ATR_063_set8__283	0.4733	-0.5338	0.2628
ATR_063_set8__288	0.5422	-0.3574	0.3970
ATR_063_set8__360	0.0569	-0.5623	-0.0508
ATR_063_set8__365	-0.0848	-0.7449	-0.1612
ATR_063_set8__375	0.6210	-0.4160	0.5878
ATR_063_set8__386	0.3646	-0.5556	0.1005
ATR_063_set8__452	0.2474	-0.5113	0.0398
ATR_063_set8__490	0.2577	-0.6439	0.0477
ATR_063_set8__504	-0.1798	-0.7338	0.0589
ATR_063_set8__564	-0.2217	-0.6247	-0.1504
ATR_063_set8__572	0.2643	-0.4888	0.2762
ATR_063_set9__147	0.1078	0.3447	0.1014
ATR_063_set9__26	-0.2569	-0.5694	-0.2561
ATR_063_set9__5	0.1591	-0.6175	0.1431
ATR_064_set10__112	0.0455	0.2215	0.0522
ATR_064_set10__115	0.0526	0.4899	0.0160
ATR_064_set10__150	-0.0663	0.4206	-0.0765
ATR_064_set10__186	0.0512	0.4340	-0.0553
ATR_064_set10__358	0.0020	0.3896	-0.0167
ATR_064_set10__465	0.0902	0.4131	-0.0199
ATR_064_set10__70	0.2710	0.6065	0.1320
ATR_064_set11__118	0.1146	0.4033	0.0887
ATR_064_set11__119	0.0939	0.7036	0.0383
ATR_064_set11__330	0.5065	-0.5182	0.3530
ATR_064_set12__216	0.1861	-0.2880	0.2950
ATR_064_set12__299	-0.0623	-0.5349	-0.0245
ATR_064_set13__144	-0.2827	-0.7493	-0.2747
ATR_064_set13__172	0.4032	-0.2274	0.6950
ATR_064_set13__202	0.0714	-0.2715	0.1273
ATR_064_set13__252	0.0658	-0.4873	0.1051
ATR_064_set13__283	0.4572	-0.2766	0.3572
ATR_064_set13__327	0.0423	-0.5489	0.2285
ATR_064_set13__360	0.1569	-0.5138	0.2358
ATR_064_set13__388	-0.2469	-0.7408	-0.2696
ATR_064_set13__4	0.1241	-0.4420	0.2381
ATR_064_set13__407	-0.1143	-0.7068	-0.3550
ATR_064_set13__460	0.1496	-0.5034	0.1040
ATR_064_set13__490	0.1106	-0.5730	0.1906
ATR_064_set13__541	-0.2122	-0.6563	-0.2303
ATR_064_set13__555	0.2332	-0.4010	0.4667
ATR_064_set13__562	0.2444	-0.6100	0.4170
ATR_064_set13__703	-0.4009	-0.5549	-0.2737
ATR_064_set13__735	-0.0436	-0.4660	0.0783
ATR_064_set15__113	0.1758	-0.5045	0.1347
ATR_064_set15__130	0.0799	-0.5621	0.1437
ATR_064_set15__144	0.3070	-0.5195	0.1348
ATR_064_set15__155	0.1376	-0.5405	0.0037
ATR_064_set15__163	0.0091	-0.6592	0.0523
ATR_064_set15__200	0.3431	-0.4840	0.1680
ATR_064_set15__217	0.2468	-0.5753	0.1202
ATR_064_set15__252	0.2137	-0.5124	-0.1101
ATR_064_set15__334	-0.7663	-0.0389	-0.7653
ATR_064_set15__38	0.0391	-0.5703	0.0470
ATR_064_set15__394	-0.0389	-0.4238	0.2770
ATR_064_set15__408	-0.3139	-0.6248	-0.4302
ATR_064_set15__442	0.1410	0.5130	0.0552
ATR_064_set15__474	0.5824	-0.3843	0.5064
ATR_064_set15__485	0.0231	0.1298	-0.1451
ATR_064_set15__501	0.3345	-0.4497	0.1088
ATR_064_set15__504	0.2392	-0.6199	0.0910
ATR_064_set15__513	-0.6283	-0.1670	-0.7456
ATR_064_set15__555	0.0244	-0.6325	0.1381
ATR_064_set15__562	-0.0955	-0.6819	-0.1039
ATR_064_set15__623	0.1898	-0.3753	0.1382
ATR_064_set15__628	-0.4211	-0.7857	0.0083
ATR_064_set15__689	0.2699	-0.5062	0.2912
ATR_064_set15__870	-0.2120	0.1895	-0.0477
ATR_064_set15__91	0.1223	-0.5712	0.0089
ATR_064_set16__166	-0.3479	-0.6699	-0.2672
ATR_064_set16__198	-0.3126	-0.8509	-0.4544
ATR_064_set16__348	-0.1833	-0.6696	-0.4954
ATR_064_set16__377	0.3724	-0.5172	0.1491
ATR_064_set16__395	0.1706	-0.5083	0.1713
ATR_064_set16__398	0.0195	-0.5993	-0.0277
ATR_064_set16__440	-0.1677	-0.6508	-0.1435
ATR_064_set16__484	0.2123	-0.4985	0.2236
ATR_064_set16__489	-0.0140	-0.7311	-0.3220
ATR_064_set16__511	0.1207	-0.4980	0.1487
ATR_064_set16__513	0.3105	-0.4805	0.0973
ATR_064_set16__595	-0.3085	-0.7988	-0.2090
ATR_064_set16__62	0.0020	-0.6830	0.0758
ATR_064_set16__685	0.1823	-0.4407	0.1737
ATR_064_set16__693	-0.1629	-0.0892	-0.0742
ATR_064_set16__703	0.1291	0.4498	0.1151
ATR_064_set16__726	-0.0360	-0.5346	0.2235
ATR_064_set16__752	-0.1376	-0.7115	-0.2540
ATR_064_set16__771	0.3445	-0.6080	0.1450
ATR_064_set17__106	0.1037	-0.4472	0.1245
ATR_064_set17__146	0.1700	-0.3423	0.4924
ATR_064_set17__212	0.3486	-0.5738	0.3513
ATR_064_set17__246	-0.0004	-0.6988	-0.0052
ATR_064_set17__335	0.2349	-0.3249	0.2868
ATR_064_set17__388	0.5671	-0.1692	0.3098
ATR_064_set17__39	-0.3381	-0.6414	-0.4126
ATR_064_set17__391	0.0087	-0.7716	0.0502
ATR_064_set17__405	0.2415	-0.5161	0.1954
ATR_064_set17__430	0.3441	-0.2416	0.2902
ATR_064_set17__491	0.3148	-0.0871	0.3988
ATR_064_set17__550	0.1531	-0.4507	0.2738
ATR_064_set17__585	0.0795	-0.6111	0.0387
ATR_064_set17__609	0.2378	-0.3143	0.3492
ATR_064_set17__629	0.0033	-0.3832	0.2144
ATR_064_set17__763	-0.2403	-0.6924	-0.4826
ATR_064_set18__122	0.1637	0.6763	0.1365
ATR_064_set18__145	-0.6214	0.2945	-0.4231
ATR_064_set18__167	0.4100	0.6344	0.2947
ATR_064_set18__214	0.0219	0.0196	-0.0498
ATR_064_set18__293	0.2793	0.3352	0.0277
ATR_064_set18__365	0.0574	-0.7975	-0.0167
ATR_064_set18__384	0.0681	0.3987	-0.0013
ATR_064_set18__387	-0.1239	-0.6675	-0.0827
ATR_064_set18__476	0.0924	-0.6004	0.0604
ATR_064_set18__527	-0.4027	-0.7232	-0.3732
ATR_064_set18__87	0.2305	0.6516	0.1665
ATR_064_set19__104	0.1050	-0.6812	-0.1290
ATR_064_set19__110	-0.4164	-0.5945	0.3397
ATR_064_set1__59	-0.2759	-0.6961	-0.1709
ATR_064_set20__174	0.1124	-0.5538	-0.0654
ATR_064_set20__198	0.2107	0.4786	0.1651
ATR_064_set20__201	0.0774	0.2617	0.0491
ATR_064_set20__236	0.1473	0.5429	0.1477
ATR_064_set20__289	0.2224	0.2444	0.1438
ATR_064_set20__320	0.2966	-0.3789	0.2387
ATR_064_set20__386	0.4189	-0.3452	0.1933
ATR_064_set20__417	0.4699	0.6680	0.1661
ATR_064_set21__106	0.0027	0.2016	-0.0856
ATR_064_set21__128	0.2559	0.4434	0.3063
ATR_064_set21__167	-0.0872	0.0130	0.0351
ATR_064_set21__21	-0.0288	0.0990	-0.0483
ATR_064_set2__136	-0.3963	0.2702	-0.3494
ATR_064_set2__16	-0.1121	0.1837	-0.0626
ATR_064_set2__174	-0.0245	0.5560	0.0543
ATR_064_set2__181	0.0614	0.5733	0.0099
ATR_064_set2__197	-0.0856	0.5481	-0.0499
ATR_064_set2__233	-0.2859	-0.6387	-0.1211
ATR_064_set2__247	0.1730	-0.4188	0.1131
ATR_064_set2__304	-0.3505	0.4359	-0.2749
ATR_064_set2__308	0.0346	0.5746	0.0192
ATR_064_set2__427	0.2814	-0.3657	0.2344
ATR_064_set2__47	0.1893	-0.3773	0.2900
ATR_064_set2__549	-0.1397	0.3742	-0.1131
ATR_064_set2__572	-0.1033	-0.5913	-0.0919
ATR_064_set2__590	-0.3809	0.3314	-0.2733
ATR_064_set2__624	-0.2246	0.3912	-0.2343
ATR_064_set2__659	-0.1376	0.4519	-0.0770
ATR_064_set2__681	-0.1907	0.3536	-0.1755
ATR_064_set2__76	-0.0191	-0.6237	-0.0135
ATR_064_set3__171	-0.0242	0.4622	0.0260
ATR_064_set3__19	-0.0563	-0.2435	0.2655
ATR_064_set3__385	-0.0062	0.1252	-0.1460
ATR_064_set3__441	-0.1849	-0.6486	-0.0168
ATR_064_set3__450	-0.3948	-0.0070	-0.4104
ATR_064_set3__486	-0.2441	0.1960	-0.2002
ATR_064_set3__575	0.1410	-0.6610	0.1693
ATR_064_set3__579	0.3150	-0.5160	0.3566
ATR_064_set3__615	-0.3730	-0.1392	-0.3546
ATR_064_set3__621	-0.3809	0.0148	-0.3423
ATR_064_set3__660	-0.4419	-0.7689	-0.5207
ATR_064_set3__686	-0.2855	0.0946	-0.2690
ATR_064_set3__79	-0.1186	0.3238	-0.1123
ATR_064_set4__141	0.2489	0.7108	0.2201
ATR_064_set4__142	0.1744	0.6798	0.1253
ATR_064_set4__154	0.0922	-0.6476	0.0530
ATR_064_set4__205	-0.1095	0.4157	-0.1060
ATR_064_set7__26	-0.2182	0.3972	-0.1945
ATR_064_set7__348	0.2438	-0.6833	0.0079
ATR_064_set7__444	0.3481	-0.6419	0.1061
ATR_064_set7__460	-0.2882	0.3615	-0.2545
ATR_064_set7__498	0.3214	-0.3783	0.2839
ATR_064_set7__52	-0.2458	0.2793	-0.2487
ATR_064_set7__55	0.2152	-0.4686	0.3933
ATR_064_set7__82	-0.0216	0.5392	-0.0481
ATR_064_set8__131	0.1336	0.4231	0.0499
ATR_064_set8__352	-0.0139	-0.6122	-0.0345
ATR_064_set8__41	-0.2223	0.2471	-0.2816
ATR_064_set8__516	0.3750	0.4965	0.2243
ATR_064_set8__555	0.0360	0.4733	0.0226
ATR_064_set8__607	0.5197	-0.4961	0.1981
ATR_064_set8__644	0.1558	-0.2699	0.6004
ATR_064_set8__647	0.3097	-0.4656	0.0887
ATR_064_set8__679	0.2820	-0.4992	0.2742
ATR_064_set8__718	-0.1861	-0.7461	-0.3250
ATR_064_set8__786	0.2106	-0.6875	0.0960
ATR_064_set8__88	-0.1089	0.2257	-0.2120
ATR_065_set10__123	0.2746	-0.3204	0.4422
ATR_065_set10__144	0.1272	0.4262	0.0353
ATR_065_set10__270	-0.2996	-0.0866	-0.2389
ATR_065_set10__285	0.2091	0.5327	0.0961
ATR_065_set10__303	-0.5280	-0.3055	-0.4341
ATR_065_set10__306	0.2303	0.6732	0.1043
ATR_065_set10__341	0.0626	0.6419	-0.0104
ATR_065_set10__377	-0.0291	0.6144	-0.0318
ATR_065_set10__379	0.1844	0.5357	0.1433
ATR_065_set10__386	0.1409	0.4077	0.0022
ATR_065_set10__394	0.1180	0.5718	0.1715
ATR_065_set10__414	-0.2555	-0.1284	-0.2751
ATR_065_set10__44	-0.4396	-0.7162	-0.1915
ATR_065_set10__533	0.1321	-0.5656	0.1850
ATR_065_set10__599	-0.0113	0.5124	-0.0769
ATR_065_set10__62	-0.0089	0.5712	-0.0407
ATR_065_set10__673	0.0317	0.4021	0.0486
ATR_065_set10__728	0.0092	0.1964	0.0709
ATR_065_set10__868	0.0281	0.5299	-0.0679
ATR_065_set10__881	-0.0673	0.1024	-0.0720
ATR_065_set10__943	-0.0957	0.3978	-0.0379
ATR_065_set10__946	-0.0327	-0.6949	0.0055
ATR_065_set11__171	-0.0450	0.0544	-0.0656
ATR_065_set11__216	-0.0710	0.0311	-0.1088
ATR_065_set11__243	0.3193	-0.4431	0.2308
ATR_065_set11__250	0.6694	-0.5264	0.5373
ATR_065_set11__306	0.3461	-0.5010	0.3057
ATR_065_set11__377	-0.2691	-0.7149	-0.2585
ATR_065_set11__493	-0.0495	0.1562	-0.1526
ATR_065_set11__502	0.2406	0.4671	0.1497
ATR_065_set11__543	-0.3500	0.1558	-0.0063
ATR_065_set11__587	0.0017	0.2395	-0.2414
ATR_065_set11__604	0.2264	-0.4628	-0.0137
ATR_065_set11__611	0.2102	0.5330	0.1631
ATR_065_set11__615	0.2494	-0.4352	0.2114
ATR_065_set11__627	0.1974	-0.5199	0.1019
ATR_065_set11__629	0.1652	0.3872	0.0133
ATR_065_set11__632	0.3060	0.4269	0.1018
ATR_065_set11__73	-0.1485	-0.4021	-0.1461
ATR_065_set11__766	0.1460	0.4998	0.0892
ATR_065_set11__798	0.0720	0.2533	-0.0817
ATR_065_set11__830	0.0271	-0.7078	-0.1026
ATR_065_set11__855	0.2678	0.5001	0.2768
ATR_065_set11__894	-0.1365	0.2035	-0.0578
ATR_065_set11__96	0.1970	-0.3804	0.2139
ATR_065_set12__139	0.5956	-0.2525	0.7445
ATR_065_set12__153	0.1040	-0.5683	0.2209
ATR_065_set12__172	0.0799	-0.5563	0.4291
ATR_065_set12__210	0.1001	-0.5127	0.2128
ATR_065_set12__246	0.3217	-0.2753	0.2275
ATR_065_set12__305	0.2977	-0.4235	0.3170
ATR_065_set12__317	0.0844	-0.5690	0.0146
ATR_065_set12__420	0.1892	-0.4821	0.2845
ATR_065_set12__421	0.2553	-0.6088	0.1657
ATR_065_set12__469	0.3525	-0.4061	0.3668
ATR_065_set12__579	0.0655	-0.4742	0.0178
ATR_065_set12__594	-0.2836	-0.6492	-0.2349
ATR_065_set12__612	0.4330	-0.5145	0.2237
ATR_065_set12__639	0.1559	-0.7129	-0.0208
ATR_065_set13__142	-0.1532	-0.5361	-0.1073
ATR_065_set13__237	-0.0142	-0.6525	-0.0253
ATR_065_set13__281	0.0458	-0.6682	0.0033
ATR_065_set13__69	0.0107	-0.6627	-0.2184
ATR_065_set13__79	-0.1332	-0.7197	0.0939
ATR_065_set13__90	-0.1746	-0.7535	-0.2476
ATR_065_set15__1	-0.0909	-0.6871	-0.1449
ATR_065_set15__111	-0.0394	-0.6140	0.2081
ATR_065_set15__150	0.2672	-0.5203	0.1443
ATR_065_set15__187	0.0443	0.1875	0.0011
ATR_065_set15__213	0.0487	-0.5981	0.0587
ATR_065_set15__374	0.0914	-0.5443	-0.0187
ATR_065_set15__418	0.0450	-0.6466	-0.0161
ATR_065_set15__42	0.1296	0.4294	0.1272
ATR_065_set15__420	-0.1832	-0.6164	-0.1371
ATR_065_set15__443	-0.1337	-0.7760	-0.2459
ATR_065_set15__457	-0.1875	-0.6885	-0.0437
ATR_065_set15__514	-0.1389	-0.4757	0.0098
ATR_065_set15__93	0.2731	0.1641	0.2125
ATR_065_set16__169	0.0163	-0.7240	0.0353
ATR_065_set17__212	-0.4312	-0.8405	-0.2986
ATR_065_set17__245	-0.3376	-0.6293	-0.3402
ATR_065_set17__258	-0.1797	-0.7177	-0.0551
ATR_065_set17__270	0.2275	-0.4822	0.2830
ATR_065_set17__370	0.0397	-0.6879	-0.0925
ATR_065_set17__422	0.2500	-0.6389	0.2053
ATR_065_set17__479	0.0358	-0.6313	0.0962
ATR_065_set18__1037	-0.0581	-0.3473	-0.0945
ATR_065_set18__11	0.2629	-0.2346	0.3270
ATR_065_set18__224	0.1673	0.6515	0.0804
ATR_065_set18__237	0.0068	0.4163	0.0027
ATR_065_set18__378	0.0364	0.4930	-0.0734
ATR_065_set18__412	0.1806	-0.6008	0.2529
ATR_065_set18__469	-0.0318	0.1470	-0.0056
ATR_065_set18__532	-0.1073	-0.7508	-0.0069
ATR_065_set18__552	0.2510	0.6465	0.1113
ATR_065_set18__556	0.2182	-0.4593	0.4410
ATR_065_set18__570	0.0892	0.3612	0.0970
ATR_065_set18__580	-0.1979	-0.4817	-0.2712
ATR_065_set18__583	-0.0058	0.5532	-0.0045
ATR_065_set18__613	-0.0512	-0.6198	-0.1902
ATR_065_set18__624	-0.1208	0.2470	-0.3407
ATR_065_set18__641	-0.0829	-0.6803	-0.0950
ATR_065_set18__642	0.3963	-0.3176	0.5055
ATR_065_set18__644	-0.0702	-0.6546	-0.0434
ATR_065_set18__657	-0.1725	0.0572	-0.1011
ATR_065_set18__728	0.1864	0.6511	0.0777
ATR_065_set18__884	0.1722	0.3275	0.0283
ATR_065_set18__950	0.0597	0.3481	0.0289
ATR_065_set19__269	0.0064	-0.6244	0.0607
ATR_065_set19__75	-0.5142	-0.1222	-0.4266
ATR_065_set1__110	0.0365	-0.5506	0.1252
ATR_065_set1__122	0.3045	-0.2295	0.2348
ATR_065_set1__149	-0.2240	-0.6696	-0.2100
ATR_065_set1__173	0.1237	-0.6084	0.1155
ATR_065_set1__180	-0.0491	-0.6754	-0.2269
ATR_065_set1__188	0.2522	-0.3521	0.3744
ATR_065_set1__347	-0.0671	-0.6613	-0.1559
ATR_065_set1__350	0.0923	-0.5374	-0.0275
ATR_065_set1__368	0.2505	-0.5373	0.3074
ATR_065_set1__390	-0.2983	-0.8867	-0.3776
ATR_065_set1__429	0.2709	-0.7010	-0.0143
ATR_065_set1__447	0.3674	-0.2760	0.2959
ATR_065_set1__466	-0.0389	-0.5358	0.0227
ATR_065_set1__5	0.1232	-0.4952	0.0600
ATR_065_set1__500	0.0177	-0.4735	-0.1018
ATR_065_set1__509	0.2470	-0.5691	0.5877
ATR_065_set1__521	0.4101	-0.2148	0.4521
ATR_065_set1__624	0.0554	-0.5867	-0.0159
ATR_065_set1__64	0.6291	-0.2265	0.6364
ATR_065_set1__717	0.2100	-0.5465	0.1193
ATR_065_set1__742	-0.0778	-0.4953	-0.0285
ATR_065_set1__745	0.1494	-0.5311	0.1664
ATR_065_set1__92	0.4770	-0.7319	0.2862
ATR_065_set20__105	0.2451	-0.2185	0.2387
ATR_065_set20__148	0.2151	-0.4679	0.0577
ATR_065_set20__198	0.1159	-0.5364	-0.0333
ATR_065_set20__228	0.0779	0.3395	0.0952
ATR_065_set20__244	0.1611	-0.3061	0.0607
ATR_065_set20__283	0.0189	0.2274	0.0650
ATR_065_set20__307	-0.0607	-0.1555	0.0463
ATR_065_set20__32	-0.1865	-0.0520	-0.1898
ATR_065_set20__82	-0.0925	-0.7746	-0.1810
ATR_065_set2__1004	-0.5077	0.0899	-0.2650
ATR_065_set2__232	0.3495	0.2846	0.4237
ATR_065_set2__250	0.0464	0.5584	0.0451
ATR_065_set2__304	0.0293	0.4233	0.0793
ATR_065_set2__307	0.0030	0.4350	-0.0180
ATR_065_set2__320	-0.1074	0.2472	-0.1081
ATR_065_set2__341	-0.0133	0.5276	0.0338
ATR_065_set2__354	-0.0543	0.2846	-0.1336
ATR_065_set2__361	-0.5053	0.0843	-0.3996
ATR_065_set2__366	-0.0497	0.5491	0.0092
ATR_065_set2__387	-0.3348	0.3349	-0.2950
ATR_065_set2__425	-0.1123	0.2965	-0.1838
ATR_065_set2__463	0.1090	0.5503	0.0564
ATR_065_set2__521	-0.1193	-0.6400	-0.1105
ATR_065_set2__570	0.2475	-0.5709	0.3400
ATR_065_set2__586	-0.5389	-0.6945	-0.3780
ATR_065_set2__69	0.3475	-0.4243	0.0257
ATR_065_set2__691	-0.0924	0.3577	-0.1485
ATR_065_set2__724	0.1065	0.3786	0.0493
ATR_065_set2__739	0.0926	0.3131	0.0729
ATR_065_set2__750	-0.2204	0.1344	-0.1214
ATR_065_set2__792	-0.4574	0.0316	-0.3923
ATR_065_set2__846	-0.2986	-0.1394	-0.3000
ATR_065_set2__849	-0.1505	0.4277	-0.1097
ATR_065_set2__876	0.0519	0.4204	0.0370
ATR_065_set3__111	0.1862	0.5461	0.1452
ATR_065_set3__86	-0.3582	0.1292	-0.2636
ATR_065_set4__105	-0.0243	-0.7152	-0.1139
ATR_065_set6__109	-0.0671	0.1968	-0.0519
ATR_065_set6__121	0.2237	0.1710	0.1314
ATR_065_set6__172	-0.1928	0.2254	-0.1166
ATR_065_set6__19	-0.1831	-0.6787	-0.2359
ATR_065_set7__126	-0.2398	0.3818	-0.2168
ATR_065_set7__158	-0.3703	0.3751	-0.4497
ATR_065_set7__217	-0.3597	0.0536	-0.3703
ATR_065_set7__324	0.0481	-0.7522	0.0274
ATR_065_set7__368	0.3380	-0.5782	0.2335
ATR_065_set7__557	0.4855	0.2513	0.2819
ATR_065_set7__604	-0.1176	0.1793	-0.1751
ATR_065_set7__607	0.4216	-0.5483	0.5967
ATR_065_set7__618	-0.1512	0.0117	-0.2037
ATR_065_set7__69	0.4578	-0.3664	0.4317
ATR_065_set7__98	0.3583	-0.5675	0.3116
ATR_065_set8__184	-0.1802	-0.6965	-0.2574
ATR_065_set8__315	-0.0396	-0.5689	-0.0223
ATR_065_set8__515	-0.2373	0.1376	-0.2909
ATR_065_set8__571	-0.0105	0.4234	-0.0258
ATR_065_set8__65	-0.2271	-0.6372	-0.2201
ATR_065_set9__106	0.2314	-0.3036	0.1222
ATR_065_set9__130	-0.0483	0.4567	-0.1178
ATR_065_set9__160	0.0489	0.8296	-0.1137
ATR_065_set9__196	0.1305	0.3562	0.0834
ATR_065_set9__221	-0.3596	-0.4196	0.0233
ATR_065_set9__236	0.2804	-0.6003	0.1144
ATR_065_set9__29	0.0891	0.4710	0.0026
ATR_065_set9__301	0.0313	0.3364	-0.0226
ATR_065_set9__35	0.0192	0.6140	-0.0411
ATR_066_set10__1046	-0.0915	-0.7756	-0.1139
ATR_066_set10__107	0.1716	-0.6271	0.1162
ATR_066_set10__15	0.1030	-0.6187	0.1905
ATR_066_set10__246	-0.1460	0.0105	0.0905
ATR_066_set10__314	0.3959	-0.4275	0.3112
ATR_066_set10__318	0.1107	0.2392	0.1275
ATR_066_set10__517	0.1434	-0.4802	0.1494
ATR_066_set10__554	0.1607	-0.6765	0.1008
ATR_066_set10__58	0.0391	-0.6275	0.1750
ATR_066_set10__591	0.1329	-0.1092	0.2767
ATR_066_set10__644	0.3201	-0.3459	0.2582
ATR_066_set10__694	0.2949	-0.6210	0.3462
ATR_066_set10__703	0.0172	-0.6927	-0.7289
ATR_066_set10__722	0.1072	-0.6311	0.3581
ATR_066_set10__790	0.0099	0.2013	-0.0182
