	CHD	CardiovascularDisease	PCGC_DeNovoVariants
ATR_002_set17__354	-0.2263	-0.7161	-0.1988
ATR_002_set17__429	0.1806	-0.4616	0.2853
ATR_002_set17__518	-0.1556	-0.5429	0.1036
ATR_002_set17__521	-0.1624	-0.6276	-0.0397
ATR_002_set17__98	0.2261	0.1123	0.3974
ATR_002_set18__41	0.4814	-0.4310	0.4264
ATR_002_set1__106	0.1533	0.4890	0.1466
ATR_002_set1__134	-0.3367	0.7300	-0.4527
ATR_002_set1__146	0.1414	-0.2557	0.1517
ATR_002_set1__152	0.0859	0.3092	0.0675
ATR_002_set1__158	-0.1874	-0.4742	0.0047
ATR_002_set1__162	-0.2024	-0.6218	-0.2091
ATR_002_set1__5	-0.2419	-0.1695	-0.2150
ATR_002_set5__118	0.1974	-0.4669	0.2897
ATR_002_set5__168	0.4075	-0.2848	0.5751
ATR_002_set5__192	0.3668	-0.4815	0.3480
ATR_002_set5__197	0.0122	-0.7520	-0.2376
ATR_002_set5__210	-0.0030	-0.1106	-0.2644
ATR_002_set5__22	0.0022	-0.6203	-0.0617
ATR_002_set5__239	-0.4263	-0.1423	-0.6407
ATR_002_set5__272	0.2408	0.1289	0.0736
ATR_002_set5__331	-0.1250	-0.7688	-0.2097
ATR_002_set5__441	-1.0696	-0.3659	-1.0115
ATR_002_set5__442	-0.0504	-0.6200	0.0433
ATR_002_set5__454	-0.0250	-0.6186	-0.1345
ATR_002_set5__472	0.1667	-0.0514	-0.0549
ATR_002_set5__491	-0.1847	-0.7574	0.2334
ATR_002_set5__72	0.0875	-0.0886	-0.0894
ATR_002_set7__70	0.3759	-0.7692	0.5392
ATR_002_set8__155	-0.0290	0.6220	-0.0368
ATR_002_set8__207	-0.2256	-0.7637	-0.0813
ATR_002_set8__289	-0.1660	0.4626	-0.0889
ATR_002_set8__298	-0.0637	0.3185	-0.0700
ATR_002_set8__333	-0.0582	0.5457	-0.0359
ATR_002_set8__404	0.3902	0.2028	0.2021
ATR_002_set8__603	-0.0898	0.4614	-0.0625
ATR_002_set8__616	0.2850	-0.5355	0.2079
ATR_002_set8__638	0.1784	0.5944	0.1619
ATR_002_set8__639	-0.2103	0.1657	-0.1107
ATR_002_set8__706	-0.1352	0.4110	-0.1206
ATR_002_set8__840	-0.0861	-0.7965	0.0527
ATR_002_set8__919	-0.2472	-0.1628	-0.2836
ATR_002_set9__112	0.0990	-0.3945	0.4481
ATR_002_set9__119	-0.3516	0.1855	-0.2607
ATR_002_set9__122	-0.3117	0.1611	-0.5098
ATR_002_set9__170	-0.3066	-0.7007	-0.3375
ATR_002_set9__172	-0.3004	-0.7341	-0.2024
ATR_002_set9__258	-0.0620	0.5733	-0.1065
ATR_002_set9__260	0.1219	0.5356	-0.2269
ATR_002_set9__60	-0.0369	0.4260	-0.1163
ATR_003_set10__153	-0.2296	-0.2016	-0.0780
ATR_003_set10__208	0.0530	0.5553	-0.0723
ATR_003_set10__273	-0.0934	-0.6060	-0.0672
ATR_003_set10__340	0.0478	0.4476	-0.0624
ATR_003_set10__69	-0.1940	-0.0626	-0.2222
ATR_003_set11__220	0.0775	0.6171	0.0970
ATR_003_set11__277	-0.1807	0.0968	-0.1599
ATR_003_set11__309	0.2790	0.5233	0.0958
ATR_003_set11__313	0.1786	0.6588	0.0316
ATR_003_set11__417	-0.0923	0.1323	-0.0931
ATR_003_set11__491	0.1154	0.3248	0.1443
ATR_003_set11__594	-0.0971	-0.2561	-0.3482
ATR_003_set11__595	-0.5129	0.2308	-0.1030
ATR_003_set11__596	-0.1913	0.2065	-0.3729
ATR_003_set11__676	-0.4191	-0.2785	-0.5576
ATR_003_set15__161	0.3428	-0.0445	0.1408
ATR_003_set15__220	-0.0224	-0.6128	-0.0795
ATR_003_set15__225	0.1072	-0.5529	0.1554
ATR_003_set15__229	0.2262	-0.3989	0.0844
ATR_003_set15__247	-0.0221	-0.6852	-0.2332
ATR_003_set15__270	-0.1182	-0.6831	-0.1999
ATR_003_set15__395	0.3452	-0.6460	0.1091
ATR_003_set15__396	0.1973	-0.6963	0.2112
ATR_003_set15__411	-0.0770	-0.6468	-0.1615
ATR_003_set15__436	-0.1985	-0.7262	-0.2802
ATR_003_set15__539	0.0276	-0.6673	0.1501
ATR_003_set15__74	-0.1643	-0.5832	-0.0620
ATR_003_set15__752	-0.0457	-0.6610	-0.0814
ATR_003_set17__138	-0.1097	-0.8215	-0.0609
ATR_003_set17__17	-0.3285	-0.7243	-0.4359
ATR_003_set17__27	0.2176	-0.0886	0.4974
ATR_003_set17__306	0.4072	-0.4861	0.4207
ATR_003_set17__327	-0.1580	-0.4924	-0.2065
ATR_003_set17__392	0.1608	-0.2490	0.1327
ATR_003_set18__200	0.2649	0.6340	0.1387
ATR_003_set18__254	0.1469	0.5072	0.1076
ATR_003_set18__348	0.0143	0.5563	-0.0086
ATR_003_set18__358	0.1875	-0.5534	0.2069
ATR_003_set18__360	-0.0645	0.0824	0.0035
ATR_003_set18__364	0.1543	0.5288	0.1126
ATR_003_set18__379	-0.2662	0.0582	-0.3369
ATR_003_set18__54	0.2505	-0.3504	0.1632
ATR_003_set18__81	0.3727	-0.5214	0.2918
ATR_003_set18__97	0.0336	0.2257	0.1221
ATR_003_set19__169	-0.2444	-0.6451	-0.1513
ATR_003_set19__210	0.1538	0.4205	0.0779
ATR_003_set19__222	0.0599	0.2295	0.0783
ATR_003_set19__261	0.4572	-0.4307	0.4662
ATR_003_set19__323	0.0253	0.2203	0.0955
ATR_003_set19__324	-0.0452	-0.6928	-0.0944
ATR_003_set19__342	0.2379	0.3498	0.2369
ATR_003_set19__363	0.1562	0.3010	0.1611
ATR_003_set19__379	0.1657	0.3713	0.2022
ATR_003_set19__401	-0.4148	-0.1449	-0.4474
ATR_003_set19__405	0.3519	0.5818	0.3241
ATR_003_set19__426	-0.1195	0.1039	-0.1024
ATR_003_set19__439	0.1921	-0.0752	0.0451
ATR_003_set19__551	0.1585	-0.7762	0.1943
ATR_003_set19__68	0.4748	-0.4850	0.2595
ATR_003_set19__72	0.2023	0.5530	0.2843
ATR_003_set1__123	0.2478	0.6405	0.1436
ATR_003_set1__183	0.1383	0.5754	0.0544
ATR_003_set1__210	0.3133	0.5194	0.1610
ATR_003_set1__221	0.2378	0.6828	0.1792
ATR_003_set1__254	0.0054	0.4678	0.0104
ATR_003_set1__333	0.4402	-0.4919	0.4657
ATR_003_set1__334	0.4215	-0.4768	0.3424
ATR_003_set1__393	0.1531	0.5007	0.0460
ATR_003_set1__432	0.1579	0.9428	0.0761
ATR_003_set1__456	0.2655	0.6861	0.1217
ATR_003_set1__470	0.4352	-0.4700	0.2551
