Gene	in_sc	in_sp	class	categories	traits
MYBPC3	True	False	impute	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy
MYH11	True	True	direct	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
MYH6	True	True	direct	CHD;CardiovascularDisease;PCGC_DeNovoVariants	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
MYH7	True	True	direct	CHD;CardiovascularDisease	Atrial_septal_defect;DilatedCardiomyopathy;HypertrophicCardiomyopathy;Valve_defects
MYL2	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
MYL3	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
MYLK	True	False	impute	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
MYLK2	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
MYO7B	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
MYOZ2	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
MYPN	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
MYRF	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NAA15	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NALCN	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NEXN	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
NF1	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
NGFR	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NIPBL	True	False	impute	CHD	Atrial_septal_defect;Ventricular_septal_defect
NKX2-5	True	True	direct	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
NKX2-6	True	False	impute	CHD	Malformation_of_the_outflow_tract;Ventricular_septal_defect
NODAL	True	False	impute	CHD	Atrial_septal_defect;Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects
NONO	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
NOTCH1	True	True	direct	CHD;PCGC_DeNovoVariants	Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Single_ventricle_disease;Valve_defects
NOTCH2	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
NPHP3	True	False	impute	CHD	Atrial_septal_defect;Valve_defects
NPHP4	True	False	impute	CHD	Atrioventricular_septal_defect;Malformation_of_the_outflow_tract
NR2F2	True	True	direct	CHD	Atrial_septal_defect;Atrioventricular_septal_defect
NR6A1	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NRAS	True	False	impute	CHD	Valve_defects
NSD1	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
NSD2	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
NUP188	True	False	impute	CHD	Valve_defects
PBX1	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
PIGL	True	False	impute	CHD	Malformation_of_the_outflow_tract;Valve_defects;Ventricular_septal_defect
PIGV	True	False	impute	CHD	Atrial_septal_defect
PITX2	True	True	direct	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract;Ventricular_septal_defect
PKD1L1	True	False	impute	CHD	Malformation_of_the_outflow_tract;Single_ventricle_disease;Valve_defects;Ventricular_septal_defect
PLN	True	True	direct	CardiovascularDisease	DilatedCardiomyopathy;HypertrophicCardiomyopathy
POGZ	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PPCS	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
PPL	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PRKACB	True	False	impute	CHD	Atrioventricular_septal_defect
PRKAG2	True	False	impute	CardiovascularDisease	HypertrophicCardiomyopathy
PRKD1	True	False	impute	CHD	Atrioventricular_septal_defect;Malformation_of_the_outflow_tract;Valve_defects
PRKG1	True	False	impute	CardiovascularDisease	Familial_thoracic_aortic_aneurysm_and_aortic_dissection
PRRC2B	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PSEN1	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
PSEN2	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
PTEN	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
PTPN11	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
PYGL	True	False	impute	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RAB23	True	False	impute	CHD	Atrial_septal_defect;Malformation_of_the_outflow_tract
RABGAP1L	True	True	direct	PCGC_DeNovoVariants	PCGC_DeNovoVariants
RAD21	True	False	impute	CHD	Malformation_of_the_outflow_tract
RAF1	True	False	impute	CHD;CardiovascularDisease;PCGC_DeNovoVariants	Atrial_septal_defect;DilatedCardiomyopathy;Malformation_of_the_outflow_tract;PCGC_DeNovoVariants;Valve_defects
RBFOX2	True	False	impute	CHD;PCGC_DeNovoVariants	PCGC_DeNovoVariants;Single_ventricle_disease
RBM20	True	False	impute	CardiovascularDisease	DilatedCardiomyopathy
RERE	True	False	impute	CHD	Atrial_septal_defect
RIT1	True	False	impute	CHD;PCGC_DeNovoVariants	Atrial_septal_defect;PCGC_DeNovoVariants;Valve_defects
