,receptor,pathway,tf,tf_PPR,category,subcategory
27134,IL2RB_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27135,IL2RB,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27136,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27137,IL2RB_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27138,IL2RB,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27139,IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27140,IL2RB_IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27141,IL2RB,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27142,IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27143,IL2RB_IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27144,IL2RB,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27145,IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27146,IL2RB_IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27147,IL2RB,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27148,IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27149,IL2RB_IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27150,IL2RB,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27151,IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27152,IL2RB_IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27153,IL2RB,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27154,IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27155,IL2RB_IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27156,IL2RB,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27157,IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27158,IL2RB_IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27159,IL2RB,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27160,IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27161,IL2RB_IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27162,IL2RB,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27163,IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27164,IL4R_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27165,IL4R,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27166,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27167,IL4R_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27168,IL4R,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27169,IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27170,IL4R_IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27171,IL4R,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27172,IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27173,IL4R_IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27174,IL4R,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27175,IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27176,IL4R_IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27177,IL4R,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27178,IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27179,IL4R_IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27180,IL4R,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27181,IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27182,IL4R_IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27183,IL4R,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27184,IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27185,IL4R_IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27186,IL4R,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27187,IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27188,IL4R_IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27189,IL4R,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27190,IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27191,IL4R_IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27192,IL4R,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27193,IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27194,IL7R_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27195,IL7R,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27196,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27197,IL7R_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27198,IL7R,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27199,IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27200,IL7R_IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27201,IL7R,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27202,IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27203,IL7R_IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27204,IL7R,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27205,IL2RG,Th17 cell differentiation,RORA,0.103292047,Organismal Systems,Immune system
27206,IL7R_IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27207,IL7R,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27208,IL2RG,Th17 cell differentiation,RORC,0.103292047,Organismal Systems,Immune system
27209,IL7R_IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27210,IL7R,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27211,IL2RG,Th17 cell differentiation,RUNX1,0.069402252,Organismal Systems,Immune system
27212,IL7R_IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27213,IL7R,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27214,IL2RG,Th17 cell differentiation,STAT3,0.120539095,Organismal Systems,Immune system
27215,IL7R_IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27216,IL7R,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27217,IL2RG,Th17 cell differentiation,STAT5A,0.131546703,Organismal Systems,Immune system
27218,IL7R_IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27219,IL7R,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27220,IL2RG,Th17 cell differentiation,STAT5B,0.131546703,Organismal Systems,Immune system
27221,IL7R_IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27222,IL7R,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27223,IL2RG,Th17 cell differentiation,STAT6,0.132153708,Organismal Systems,Immune system
27224,IL9R_IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27225,IL9R,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27226,IL2RG,Th17 cell differentiation,FOXP3,0.145367385,Organismal Systems,Immune system
27227,IL9R_IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27228,IL9R,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27229,IL2RG,Th17 cell differentiation,GATA3,0.114139673,Organismal Systems,Immune system
27230,IL9R_IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27231,IL9R,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
27232,IL2RG,Th17 cell differentiation,HIF1A,0.022446517,Organismal Systems,Immune system
