	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
ATR_000_set19__104	-0.4764	-0.4657	-0.5638	-0.3887	-0.8234	-0.3554	0.1114	-0.9112	-0.3239	-0.4110
ATR_000_set19__114	-0.2852	-0.2126	0.0903	-0.4680	0.1144	-0.2670	-0.3314	-0.2857	-0.3490	-0.2445
ATR_000_set19__157	-0.1521	0.2139	-0.6867	-0.1574	-0.7452	0.0435	0.0666	-0.0472	-0.0763	-0.0062
ATR_000_set19__178	0.0389	0.2908	-0.4211	0.4922	-0.6779	0.1771	-0.1653	-0.2251	0.0644	0.2789
ATR_000_set19__181	0.3938	0.4232	0.5889	-0.0569	0.3911	0.4390	0.3604	0.4776	0.3331	0.4378
ATR_000_set19__184	0.5283	0.5569	-0.3231	0.5202	-0.4723	0.4844	0.4454	0.4415	0.6141	0.4517
ATR_000_set19__221	0.4155	0.5259	0.3949	0.3312	0.4924	0.5074	0.4010	0.2738	0.4670	0.5395
ATR_000_set19__35	0.3347	0.3822	-0.4985	0.2024	-0.6173	0.3610	0.3149	0.2078	0.3937	0.2041
ATR_000_set19__69	0.1442	0.2013	0.4310	-0.0768	0.4256	0.1068	0.0968	0.1191	0.0813	0.0905
ATR_000_set19__99	-0.2552	-0.5145	-0.4873	-0.0885	-0.5669	-0.3089	-0.2165	-0.3058	-0.2918	-0.3107
ATR_001_set15__101	-0.2071	-0.2649	-0.4952	0.1271	-0.5588	-0.1006	-0.0492	-0.3311	-0.1446	-0.2598
ATR_001_set15__173	-0.3299	-0.2619	-0.6813	0.0149	-0.6806	-0.1843	-0.3142	-0.3213	-0.2073	-0.2449
ATR_001_set15__174	-0.4081	-0.3937	-0.6458	-0.1193	-0.7144	-0.3244	-0.3060	-0.4594	-0.3710	-0.2915
ATR_001_set15__201	-0.3203	-0.4273	-0.5163	0.4609	-0.7392	-0.2376	-0.2633	-0.3889	-0.2486	-0.2957
ATR_001_set15__211	-0.0926	-0.1159	-0.3031	0.2031	-0.6762	0.1588	0.1708	0.0011	0.0108	0.0379
ATR_001_set15__226	-0.1805	0.0034	-0.7714	0.8403	-0.5722	0.0245	-0.2213	-0.1712	-0.0485	0.1091
ATR_001_set15__240	0.1023	0.1063	-0.2141	0.6416	-0.4533	0.1282	-0.0277	-0.0243	0.1326	0.2292
ATR_001_set15__282	-0.1566	-0.2471	-0.4569	0.2661	-0.6572	-0.1142	0.0880	-0.0084	0.0859	-0.0792
ATR_001_set15__326	-0.1317	0.0219	-0.6343	0.4257	-0.7073	-0.1919	-0.1634	-0.0223	-0.0437	-0.0907
ATR_001_set15__355	-0.4182	-0.3619	-0.6907	-0.1136	-0.8032	-0.2917	-0.3080	-0.4090	-0.3435	-0.4570
ATR_001_set15__382	-0.4747	-0.4961	-0.8853	-0.2131	-0.7904	-0.3554	-0.3859	-0.5454	-0.4437	-0.4117
ATR_001_set15__84	-0.2420	-0.1482	-0.6075	0.0840	-0.6575	-0.1650	-0.2116	-0.2388	-0.2002	-0.0916
ATR_001_set17__132	-0.0152	0.0697	-0.4196	-0.1001	-0.5501	0.0894	0.1709	-0.3579	-0.0876	-0.1123
ATR_001_set17__274	-0.1468	-0.2640	-0.4355	-0.0711	-0.4598	-0.0152	-0.2546	-0.3333	-0.1196	-0.1550
ATR_001_set17__431	0.3555	0.5025	-0.2500	1.0254	-0.0430	0.7111	0.2533	0.3616	0.4051	0.3910
ATR_001_set17__460	-0.3201	-0.3001	-0.8638	1.1033	-0.8278	-0.2919	0.0125	-0.1961	-0.4534	-0.6333
ATR_001_set17__511	0.3749	0.0782	-0.3071	0.6227	-0.5239	0.2748	0.5049	0.4134	0.4479	0.4635
ATR_001_set17__588	-0.0703	-0.3831	-0.8462	0.1221	-0.3987	-0.1816	-0.2146	0.3037	0.1271	-0.1535
ATR_001_set17__616	-0.4108	-0.1940	-0.7018	0.0085	-0.7771	-0.3939	-0.3605	-0.5169	-0.4068	-0.4246
ATR_001_set17__76	-0.0845	0.2416	-0.4811	0.5310	-0.3689	-0.0485	-0.1516	0.3112	0.0178	-0.1093
ATR_001_set18__120	0.1240	0.2422	0.4550	-0.0571	0.6106	0.1653	-0.0074	0.3612	0.0800	0.2123
ATR_001_set18__17	-0.2616	-0.1838	0.1303	-0.2590	0.1862	-0.1836	-0.2149	-0.2683	-0.2723	-0.2252
ATR_001_set18__195	0.1581	0.4371	-0.1356	0.0814	-0.2175	0.2247	0.2814	0.1862	0.2776	0.2898
ATR_001_set18__247	0.0146	0.1036	0.3151	-0.3048	0.3355	0.0807	0.0001	0.0210	-0.0142	0.0157
ATR_001_set18__281	0.1473	0.2714	0.5314	0.0060	0.5429	0.1740	0.1843	0.1828	0.1253	0.1268
ATR_001_set18__31	-0.0820	-0.0165	0.2739	-0.1191	0.3212	-0.0549	-0.0235	-0.0595	-0.1121	-0.1067
ATR_001_set18__385	-0.2175	-0.2200	0.2039	-0.3323	0.3019	-0.1607	-0.2111	-0.2063	-0.2288	-0.2084
ATR_001_set18__404	-0.2481	-0.1195	0.0788	-0.4038	0.1748	-0.2038	-0.1547	-0.1737	-0.2770	-0.2140
ATR_001_set1__107	-0.2838	-0.2825	-0.6949	0.2157	-0.7296	-0.1462	-0.3904	-0.2488	-0.2818	-0.2494
ATR_001_set1__110	-1.0751	-0.9656	-1.1277	-0.4573	-0.8295	-1.1229	-0.8227	-1.1542	-0.9671	-1.1726
ATR_001_set1__144	0.3004	0.3632	0.6063	0.2306	0.5864	0.3011	0.3313	0.4257	0.2360	0.2039
ATR_001_set1__33	0.0236	0.1291	0.3590	-0.0363	0.4210	0.0701	0.0415	0.0329	-0.0403	0.0080
ATR_001_set20__154	0.1546	-0.0344	-0.4568	0.4214	-0.5552	0.1802	0.1430	0.2945	0.0959	-0.0196
ATR_001_set20__220	0.2403	0.3317	0.5250	0.1975	0.5031	0.2511	0.2641	0.1430	0.2422	0.2054
ATR_001_set20__243	0.0759	0.3725	0.0866	0.0670	0.2478	0.0591	0.0127	-0.0035	-0.0344	-0.0720
ATR_001_set20__264	-0.6370	-0.7145	-0.7593	-0.3234	-0.8626	-0.6719	-0.7030	-0.8024	-0.7133	-0.8270
ATR_001_set20__287	0.0086	0.1569	0.3742	-0.1331	0.3439	0.0358	0.0622	0.0272	0.0064	0.0518
ATR_001_set20__314	-0.2116	-0.8352	-0.4977	0.5041	-0.6479	-0.0353	0.0620	-0.6700	-0.0908	-0.2090
ATR_001_set20__321	-0.1421	-0.0877	0.2977	-0.3432	0.3002	-0.1040	-0.0699	-0.1061	-0.1804	-0.1218
ATR_001_set20__363	-0.3139	-0.3317	-0.0043	-0.5449	0.0841	-0.3500	-0.2459	-0.4309	-0.3422	-0.3539
ATR_001_set20__392	-0.3429	-0.3592	-0.0734	-0.7508	-0.0046	-0.2836	-0.4186	-0.5173	-0.4363	-0.3955
ATR_001_set20__469	-0.4570	-0.6541	-0.1779	-0.4825	0.3369	-0.0933	-0.4885	-1.2416	-0.4272	0.1268
ATR_001_set20__553	-0.6180	-0.5187	-0.1352	-0.9764	-0.3691	-0.4019	-0.3604	-0.6071	-0.5521	-0.5240
ATR_001_set20__82	0.4283	0.4001	0.6950	0.1999	0.6722	0.3323	0.4781	0.2104	0.3086	0.2382
ATR_001_set20__96	0.1626	0.2471	0.4689	-0.1115	0.4460	0.1538	0.1366	0.2017	0.1080	0.1595
ATR_001_set2__80	-0.2782	-0.4846	-0.6011	0.1174	-0.8867	-0.0546	-0.2182	-0.1317	-0.2720	0.0102
ATR_001_set3__69	0.1448	0.2572	0.4628	0.0385	0.4373	0.1922	0.1091	0.3429	0.1456	0.0952
ATR_001_set7__120	-0.0811	-0.0175	0.2002	-0.3999	0.4137	0.0184	-0.0666	0.0432	-0.0756	-0.0696
ATR_001_set7__121	-0.1865	0.0926	-0.1086	0.0256	0.0000	-0.2155	-0.0855	-0.2074	-0.2509	0.0296
ATR_001_set7__172	0.3657	0.4661	0.7294	0.3090	0.7023	0.3694	0.4591	0.3889	0.3083	0.3915
ATR_001_set7__188	0.1010	0.3132	0.4267	-0.2853	0.3447	0.1130	0.1379	0.1605	0.0116	0.1728
ATR_001_set7__308	0.0051	0.1610	0.1984	0.0221	0.1419	0.0017	-0.2944	-0.2313	-0.1313	0.0684
ATR_001_set7__327	-0.3277	-0.1110	-0.0579	-0.1504	0.0500	-0.2918	-0.2234	-0.3184	-0.3686	-0.2783
ATR_001_set7__384	0.2987	0.2498	0.5504	0.2662	0.5616	0.2738	0.2042	0.1990	0.2818	0.3320
ATR_001_set7__458	-0.1966	-0.3053	-0.5891	0.1211	-0.6727	-0.0117	-0.1920	-0.2484	-0.1639	-0.1712
ATR_001_set7__462	-0.3849	-0.3816	-0.2320	-0.6294	-0.4829	-0.4938	-0.4521	-0.3845	-0.3774	-0.4251
ATR_001_set7__542	-0.7477	-0.9953	0.0013	-1.4999	-0.4724	-0.5789	-0.7972	-0.6569	-0.9191	-0.7600
ATR_001_set7__618	-0.2545	-0.1778	0.0734	-0.5561	0.1531	-0.2649	-0.2319	-0.2853	-0.2905	-0.1804
ATR_001_set8__106	-0.4485	-0.6443	-0.5222	-0.2492	-0.7560	-0.4085	-0.3834	-0.5503	-0.3908	-0.5039
ATR_001_set8__108	-0.3519	-0.4506	-0.5929	0.2147	-0.6441	-0.3191	-0.3178	-0.4716	-0.2847	-0.4872
ATR_001_set8__116	-0.2930	-0.2690	-0.1160	-0.1867	-0.4960	-0.1314	-0.2088	-0.1574	-0.1489	0.0618
ATR_001_set8__153	-0.3174	-0.5380	-0.7432	-0.6639	-0.8393	-0.4682	-0.2262	-0.7233	-0.3855	-0.4600
ATR_001_set8__195	0.0253	0.0001	0.3983	-0.0865	0.5265	-0.0384	-0.0651	0.0835	-0.0129	0.0225
ATR_001_set8__262	0.3028	0.2318	0.6770	-0.0016	0.7903	0.2410	0.2787	0.2987	0.2349	0.3115
ATR_001_set8__295	-0.2122	-0.2347	0.2796	-0.3434	0.4263	-0.2080	-0.3644	-0.0576	-0.2165	-0.0551
ATR_001_set8__519	-0.1197	-0.0952	-0.3487	0.3595	-0.4149	-0.0517	0.0937	-0.0948	-0.0299	-0.1329
ATR_001_set8__585	0.0603	-0.0207	-0.3833	0.3076	-0.5527	0.0779	-0.0277	0.0367	0.0034	-0.2206
ATR_001_set8__600	0.1658	0.7883	0.1204	-0.2993	-0.5655	0.5100	0.2594	-0.0278	0.1900	0.0258
ATR_001_set8__622	-0.0347	-0.0424	0.3628	-0.2109	0.5079	-0.0240	-0.0577	0.1520	-0.0597	0.0428
ATR_001_set8__676	-0.1390	-0.0328	-0.9459	0.1177	-0.7492	-0.0606	0.1507	-0.1257	0.0111	-0.1716
ATR_001_set8__700	0.4398	-0.1705	-0.1783	1.0596	-0.2747	0.1871	0.3186	0.3343	0.5249	0.3963
ATR_001_set9__234	0.3041	-0.4054	0.0296	0.4967	-0.0450	0.3046	0.9801	0.2803	0.3031	0.2770
ATR_001_set9__258	-0.0844	-0.0231	-0.5119	0.1021	-0.7518	0.0990	-0.0376	-0.1256	0.0353	-0.1008
ATR_001_set9__77	-0.3222	-0.3170	-0.7036	0.0433	-0.7645	-0.2162	-0.2546	-0.1828	-0.2095	-0.3503
ATR_002_set11__166	0.6901	0.8196	0.8474	0.6291	0.9002	0.7733	0.7009	0.6828	0.6852	0.8345
ATR_002_set11__212	0.2335	0.2209	0.5417	0.0128	0.5817	0.1881	0.1558	0.2032	0.1643	0.2125
ATR_002_set11__254	-0.0184	0.0497	-0.1702	0.6027	-0.4601	0.0545	0.1429	0.2321	0.1232	-0.1539
ATR_002_set11__261	0.3041	0.4405	0.5613	0.4458	0.5665	0.2910	0.1863	0.2780	0.2503	0.2459
ATR_002_set11__288	-0.6267	-0.6453	-1.0733	-0.6978	-1.0221	-0.5753	-0.6104	-0.6077	-0.5572	-0.6205
ATR_002_set11__312	0.1545	0.1635	0.4853	0.0450	0.4638	0.1447	0.2107	0.1651	0.1169	0.1121
ATR_002_set11__39	-0.2822	-0.1776	-0.1111	-0.6329	-0.2315	-0.2463	-0.3428	-0.3296	-0.3239	-0.3017
ATR_002_set11__68	-0.0752	-0.0024	0.3075	-0.1310	0.3427	-0.0442	-0.0175	-0.0803	-0.1046	0.0220
ATR_002_set12__100	0.2870	0.1654	-0.3316	0.5140	-0.3653	0.3093	0.1943	0.1749	0.3153	0.1299
ATR_002_set12__143	-0.0796	-0.1371	0.3424	0.0059	0.1947	-0.1310	-0.0185	0.0142	-0.1133	-0.0343
ATR_002_set12__152	-0.0687	-0.0268	0.2023	-0.2710	0.2960	-0.0986	-0.1492	-0.0145	-0.1522	-0.0814
ATR_002_set12__182	-0.1534	-0.0923	-0.4741	-0.4821	-0.7423	0.1164	0.0285	-0.1295	-0.1657	-0.3049
ATR_002_set12__50	-0.3606	-0.1772	-0.7198	-0.3389	-0.7262	-0.2557	-0.1341	-0.4375	-0.1386	-0.3813
ATR_002_set15__155	0.0329	0.3192	-0.1344	0.7610	-0.3687	0.2014	0.1104	0.1918	0.0593	-0.0177
ATR_002_set15__172	-0.1832	-0.3157	-0.5531	-0.0237	-0.5158	-0.1939	-0.1509	-0.1754	-0.1343	-0.5047
ATR_002_set15__196	-0.2410	-0.3514	-0.3616	0.4196	-0.4527	-0.0777	-0.1449	-0.4293	-0.1473	-0.1483
ATR_002_set15__276	-0.3069	-0.3370	-0.6056	0.0828	-0.7261	-0.3269	-0.2779	-0.4495	-0.2646	-0.3526
ATR_002_set15__295	-0.0634	-0.1156	-0.2003	0.1641	-0.5006	0.0578	0.0008	-0.1068	0.0167	-0.0078
ATR_002_set15__364	-0.0153	-0.2227	-0.5039	0.3596	-0.4984	0.0520	0.1231	0.0501	0.0154	-0.2475
ATR_002_set15__418	-0.4243	-1.0294	-0.7902	-0.0457	-0.8744	-0.4557	-0.2235	-0.8262	-0.3379	-0.5708
ATR_002_set15__436	-0.2387	-0.6987	-0.5420	-0.1472	-0.5716	-0.5322	-0.3050	-0.0554	-0.1729	-0.6093
ATR_002_set15__509	-0.2360	-0.2356	-0.4970	0.2389	-0.5677	-0.0801	-0.2030	-0.1565	-0.1193	-0.2924
ATR_002_set15__56	-0.3353	-0.4559	-0.7962	-0.1165	-0.6188	-0.3435	-0.1479	-0.6617	-0.3046	-0.3097
ATR_002_set15__572	-0.1291	-0.1421	-0.7166	-0.3573	-0.6834	0.0740	-0.0203	-0.0637	-0.0239	-0.0809
ATR_002_set15__610	-0.0832	-0.0529	-0.5767	0.1526	-0.6635	-0.1039	-0.1437	-0.0158	-0.1186	-0.2079
ATR_002_set15__67	-0.5917	-0.5488	-1.0182	-0.5737	-0.7099	-0.4349	-0.4325	-0.6117	-0.3976	-0.4242
ATR_002_set15__729	0.2313	0.2446	-0.3472	0.8987	-0.4306	0.1633	0.2518	0.2981	0.3945	0.1575
ATR_002_set15__800	-0.2379	-0.6497	-0.5359	0.2260	-0.5343	-0.4425	-0.2423	-0.3346	-0.1766	-0.2366
ATR_002_set15__813	-0.5181	-0.3850	-0.9931	-0.3495	-0.7993	-0.3813	-0.5992	-0.5559	-0.4550	-0.6172
ATR_002_set17__212	0.7658	0.7167	0.0447	0.4031	-0.0320	0.6132	0.8629	0.6626	0.8442	0.7097
ATR_002_set17__237	-0.0347	0.1771	-0.4408	0.7128	-0.1276	0.1283	0.0708	-0.0989	0.0034	-0.1164
ATR_002_set17__354	0.0020	0.1039	-0.6392	0.0222	-0.9993	-0.2966	0.1992	0.0428	-0.1930	-0.3427
ATR_002_set17__429	0.1702	0.1896	-0.2425	0.7184	-0.2727	0.2339	0.2032	0.3078	0.2641	0.0724
ATR_002_set17__518	-0.4303	-0.5858	-0.4547	-0.0555	-0.7415	-0.4792	-0.6367	-0.2207	-0.3112	-0.3731
ATR_002_set17__521	-0.4812	-0.4178	-0.7708	-0.0534	-0.6916	-0.3222	-0.5465	-0.3113	-0.3106	-0.4865
ATR_002_set17__98	-0.5749	-0.8706	-0.6606	0.4334	-0.5089	-0.6065	-0.3871	-0.4077	-0.4334	-0.4804
ATR_002_set18__41	-0.0894	-0.1727	-0.3566	-0.1798	-0.5917	-0.1033	-0.1195	-0.0963	-0.1018	-0.0647
ATR_002_set1__106	0.4161	0.1327	0.6378	-0.3073	0.5737	0.4468	0.4591	0.2532	0.2197	0.4342
ATR_002_set1__134	-0.6157	-0.5102	-0.4657	-0.8704	-0.4835	-0.5844	-0.5399	-0.6253	-0.4966	-0.5848
ATR_002_set1__146	0.0276	0.2456	0.4009	-0.2025	0.1450	0.0520	0.0784	0.1811	-0.0887	-0.0283
ATR_002_set1__152	0.0256	0.0598	0.3768	-0.1696	0.3991	0.0485	0.0169	0.0518	-0.0187	0.0136
ATR_002_set1__158	0.4549	0.3022	-0.0211	1.0297	-0.1915	0.5981	0.5974	0.5920	0.5200	0.3025
ATR_002_set1__162	0.0455	0.2809	-0.3845	0.1918	-0.4590	0.1485	-0.0118	0.1999	0.0013	0.1341
ATR_002_set1__5	0.0042	0.1916	0.3070	-0.1099	0.4335	-0.0097	-0.0203	-0.0778	-0.0744	-0.0745
ATR_002_set5__118	-0.1796	-0.1216	-0.5535	-0.0255	-0.6396	0.0503	-0.0308	-0.0438	0.0057	-0.1796
ATR_002_set5__168	-0.0078	-0.0942	-0.3853	0.4552	-0.5028	0.0111	0.0282	-0.2064	0.1059	0.0318
ATR_002_set5__192	0.1353	-0.1684	-0.4624	0.2852	-0.5150	0.1010	0.1281	0.0154	0.2066	-0.0218
ATR_002_set5__197	-0.4043	-0.4252	-0.7645	-0.2238	-0.8754	-0.3996	-0.3974	-0.3719	-0.4195	-0.4623
ATR_002_set5__210	0.0637	0.1639	0.3454	-0.2483	0.4673	0.0760	0.0835	0.0866	0.0549	0.1047
ATR_002_set5__22	-0.1233	-0.0723	-0.5100	0.2133	-0.5278	0.0039	-0.0463	-0.0876	-0.0251	-0.0640
ATR_002_set5__239	-0.4467	-0.4811	0.1768	-0.5267	0.1728	-0.2068	-0.4295	-0.3898	-0.5609	-0.4938
ATR_002_set5__272	0.5839	0.5456	0.6126	0.1405	0.6368	0.5782	0.6992	0.4274	0.5070	0.4843
ATR_002_set5__331	-0.5978	-0.8240	-0.8038	-0.6602	-0.6974	-0.7455	-0.5214	-0.9942	-0.5132	-0.6451
ATR_002_set5__441	-0.5175	-0.6984	-0.5962	-0.5365	-0.7146	-0.5994	-0.7530	0.0286	-0.4536	-0.4185
ATR_002_set5__442	-0.5104	-0.2776	-0.2223	-0.6052	-0.0201	-0.4223	-0.1727	-0.6552	-0.3841	-0.5824
ATR_002_set5__454	-0.6837	-0.6013	-0.8338	0.2752	-0.7648	-0.5676	-0.6955	-0.4395	-0.6668	-0.5548
ATR_002_set5__472	0.2971	0.4706	0.4189	0.1096	0.7041	0.2586	0.5068	0.2041	0.1407	0.3574
ATR_002_set5__491	-0.2830	-0.2793	-0.6623	0.5381	-0.8544	-0.1146	-0.0067	0.1700	-0.3689	-0.4515
ATR_002_set5__72	0.1795	0.1524	-0.0989	0.1075	0.0280	0.2870	0.3496	-0.0091	0.3371	0.2918
ATR_002_set7__70	-0.6362	-0.8189	-1.1435	-0.0525	-1.4130	-0.5625	-0.8308	0.2217	-0.6355	-0.8153
ATR_002_set8__155	0.0674	0.1513	0.4976	-0.1232	0.5777	0.0519	-0.0126	0.1857	0.0121	0.1544
ATR_002_set8__207	-0.2907	-0.4135	-0.7011	-0.1683	-0.6862	-0.2019	-0.3444	-0.1311	-0.1273	-0.2650
ATR_002_set8__289	0.2005	0.1705	0.5639	-0.1257	0.7030	0.1671	0.2065	0.1721	0.0917	0.1734
ATR_002_set8__298	-0.4801	-0.5244	-0.3371	-0.5742	-0.3892	-0.3681	-0.4945	-0.4019	-0.4179	-0.1826
ATR_002_set8__333	0.4598	0.4404	0.8459	0.1365	0.8962	0.3647	0.3999	0.4858	0.3729	0.4965
ATR_002_set8__404	-0.2312	0.0945	-0.5053	-0.4512	-0.1356	-0.2780	-0.2683	0.3516	-0.1299	-0.0738
ATR_002_set8__603	0.2596	0.2335	0.6490	0.0100	0.7473	0.2241	0.2304	0.2479	0.2040	0.2992
ATR_002_set8__616	-0.4335	-0.4232	-0.6354	0.2522	-0.7108	-0.2788	-0.0612	-0.1544	-0.1799	-0.1016
ATR_002_set8__638	0.1376	0.2067	0.5693	-0.0890	0.6288	0.1433	0.0942	0.0639	0.1031	0.2415
ATR_002_set8__639	-0.1805	-0.2264	0.2342	-0.4110	0.3012	-0.1663	-0.1763	-0.1046	-0.2374	-0.0547
ATR_002_set8__706	-0.5857	-0.5617	-0.2439	-0.7692	-0.1761	-0.5549	-0.5498	-0.5121	-0.5578	-0.5496
ATR_002_set8__840	0.1240	-0.0731	-0.5343	0.4370	-0.6651	0.0055	0.0524	-0.0161	0.0704	-0.0565
ATR_002_set8__919	0.2679	0.2523	0.2758	0.2726	0.6117	0.1676	0.0945	0.2226	0.2491	0.0978
ATR_002_set9__112	0.4068	0.5742	0.5488	0.7988	0.8385	0.5994	0.6235	0.2246	0.3310	0.3602
ATR_002_set9__119	-1.1236	-0.8877	-0.7452	-1.2856	-0.7237	-0.8358	-0.9378	-0.9278	-0.8724	-1.0070
ATR_002_set9__122	-0.0847	0.3286	0.0485	0.5967	0.3947	0.2171	0.0832	0.0296	0.0125	-0.0391
ATR_002_set9__170	0.1383	0.0606	-0.3457	0.2889	-0.3903	0.0969	-0.0917	-0.0022	0.1966	0.2719
ATR_002_set9__172	-0.1073	0.0889	-0.2575	0.4137	-0.5081	-0.0567	0.0013	0.1028	-0.2341	-0.2665
ATR_002_set9__258	-0.1198	-0.0672	0.0787	-0.1097	0.2090	-0.1999	-0.0713	-0.1339	-0.0252	-0.2039
ATR_002_set9__260	0.6540	0.5014	0.7585	0.7243	0.8905	0.5500	0.6533	0.5996	0.6192	0.6565
ATR_002_set9__60	-0.0141	-0.0520	0.1227	-0.2199	0.2305	0.1122	0.0055	0.0638	0.0515	0.0978
ATR_003_set10__153	-0.3416	-0.1301	0.0772	0.0465	0.0979	-0.2478	-0.2698	-0.4051	-0.3657	-0.5074
ATR_003_set10__208	0.2043	0.3908	0.4663	-0.0714	0.4575	0.2426	0.2019	0.1641	0.1313	0.2145
ATR_003_set10__273	-0.6212	-0.5657	-0.8038	0.4112	-0.8676	-0.6077	-0.5672	-0.3607	-0.4389	-0.7497
ATR_003_set10__340	0.3096	0.4277	0.5746	-0.0171	0.6238	0.3621	0.3273	0.4442	0.2682	0.3457
ATR_003_set10__69	-0.2226	-0.1304	-0.1421	-0.1374	-0.0922	-0.2223	-0.1969	-0.1072	-0.3006	0.0694
ATR_003_set11__220	0.5097	0.4066	0.7572	0.1243	0.7594	0.4277	0.4110	0.5013	0.4367	0.3979
ATR_003_set11__277	0.0797	0.0713	0.3938	-0.0982	0.4604	0.0571	0.0641	0.0716	0.0333	0.0864
ATR_003_set11__309	0.1653	0.0579	0.5026	0.2325	0.5756	0.2430	0.4810	0.1172	0.0732	0.1898
ATR_003_set11__313	0.1426	0.3567	0.4837	-0.0150	0.5631	0.2751	0.1426	0.3866	0.1436	0.1192
ATR_003_set11__417	-0.0390	-0.0565	0.2980	-0.3239	0.3325	-0.0708	-0.0511	-0.0425	-0.0791	-0.0505
ATR_003_set11__491	-0.0464	-0.0600	0.3481	-0.2333	0.3573	-0.0287	-0.0392	-0.0550	-0.0825	-0.0763
ATR_003_set11__594	0.2498	0.0947	0.1528	-0.0378	0.3295	0.0897	0.2126	-0.0292	0.1535	0.4214
ATR_003_set11__595	0.0302	0.1848	0.2323	0.0986	0.3120	-0.0001	-0.0529	0.0778	0.0316	0.0220
ATR_003_set11__596	-0.0323	0.0117	0.2701	-0.6915	0.2359	-0.0131	0.0416	-0.0193	-0.0906	0.0382
ATR_003_set11__676	-0.3381	-0.2374	-0.0445	-0.3741	0.0628	-0.7701	-0.5658	-0.2643	-0.2900	0.3592
ATR_003_set15__161	0.1271	0.2260	-0.2792	0.6627	-0.3074	0.1584	0.2017	0.2394	0.1471	0.1139
ATR_003_set15__220	-0.5003	-0.4588	-0.7162	0.1895	-0.6590	-0.3248	-0.2540	-0.3198	-0.3293	-0.2801
ATR_003_set15__225	-0.4093	-0.3183	-0.7011	0.0951	-0.6780	-0.1881	-0.3713	-0.2760	-0.2481	-0.3680
ATR_003_set15__229	0.1525	-0.0789	-0.4225	0.5436	-0.4775	0.1054	0.1765	0.0820	0.1574	-0.2336
ATR_003_set15__247	-0.4075	-0.2982	-0.5843	0.4491	-0.6380	-0.3013	-0.2756	-0.4713	-0.3033	-0.4983
ATR_003_set15__270	-0.5257	-0.7515	-0.6810	-0.1371	-0.7727	-0.4174	-0.5391	-0.8144	-0.5114	-0.5035
ATR_003_set15__395	-0.1558	-0.3620	-0.4895	0.1289	-0.4761	-0.0477	-0.0905	-0.0953	0.0016	-0.1910
ATR_003_set15__396	-0.3304	-0.2460	-0.5569	0.1541	-0.6515	-0.2457	-0.2709	-0.4387	-0.3014	-0.4591
ATR_003_set15__411	-0.1987	-0.0827	-0.2863	0.4867	-0.3420	0.1248	-0.0427	0.1065	0.0396	0.0085
ATR_003_set15__436	0.3972	0.3680	-0.2575	0.6050	-0.4236	0.3625	0.4817	0.3826	0.4427	0.2682
ATR_003_set15__539	0.4943	0.7008	-0.8602	0.3902	-0.7999	0.6337	-0.0222	0.4946	0.5819	0.4881
ATR_003_set15__74	-0.3623	-0.3555	-0.7916	0.2126	-0.8689	-0.3917	-0.2663	-0.5065	-0.2790	-0.3294
ATR_003_set15__752	-0.0523	0.2729	-0.4343	0.2852	-0.5384	0.1078	0.0010	-0.0486	0.0373	-0.1321
ATR_003_set17__138	-0.3683	-0.8853	-0.9296	-0.4798	-0.9460	-0.6324	-0.2936	-0.7640	-0.4225	-0.5302
ATR_003_set17__17	0.3316	0.5076	-0.3072	0.1326	-0.4555	0.1784	0.1746	0.0761	0.3032	0.3215
ATR_003_set17__27	0.1752	0.2589	-0.4733	0.8642	-0.3226	-0.0495	0.3472	0.0324	0.2188	0.0701
ATR_003_set17__306	0.5457	0.3425	-0.1815	0.4643	-0.3072	0.3974	0.4880	0.2659	0.5174	0.2940
ATR_003_set17__327	-1.1150	-1.0524	-1.2861	-1.1561	-0.7093	-0.8969	-0.8455	-1.3344	-0.9852	-1.1364
ATR_003_set17__392	-0.1537	-0.1571	-0.5666	0.3294	-0.4390	-0.2078	-0.1264	-0.1416	-0.1379	-0.2146
ATR_003_set18__200	0.1048	0.1494	0.4125	0.0758	0.4246	0.0799	0.0656	0.0567	0.0933	0.1208
ATR_003_set18__254	-0.2451	-0.0311	0.1133	-0.3170	0.3082	-0.2385	-0.2068	-0.2914	-0.3035	-0.2261
ATR_003_set18__348	0.0137	0.1174	0.3631	-0.1374	0.3235	0.0369	0.0745	0.0504	-0.0016	-0.0386
ATR_003_set18__358	-0.1614	0.0273	-0.4577	0.3044	-0.3648	0.0026	-0.3463	-0.3567	-0.1382	-0.0791
ATR_003_set18__360	-0.2234	-0.2407	0.1950	-0.3213	0.1450	-0.1916	-0.2014	-0.2435	-0.2759	-0.1686
ATR_003_set18__364	-0.0023	0.1701	0.3791	-0.1607	0.3944	0.0652	0.0258	0.0352	-0.0165	-0.0180
ATR_003_set18__379	-0.9787	-1.0198	-0.7303	-1.1578	-0.7659	-0.6642	-1.0097	-1.0910	-0.7876	-0.6936
ATR_003_set18__54	0.0468	0.3250	-0.3911	0.5816	-0.6195	0.1016	-0.0320	-0.2797	-0.0450	0.2059
