	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_075_set7__461	-0.0860	-0.2011	0.1683	-0.4638	-0.0842	-0.2208	-0.2268	-0.2873	-0.0781	-0.2866
VEN_075_set7__486	0.0574	0.0654	0.4520	-0.1366	0.5205	0.0409	-0.0604	0.1320	-0.0375	0.0604
VEN_075_set7__526	-0.2433	-0.4345	-0.5384	0.0134	-0.6251	-0.2047	-0.0653	-0.0176	-0.1370	-0.1724
VEN_075_set8__143	-0.1537	-0.3309	0.1527	0.2310	0.2422	-0.2792	-0.5871	-0.5125	-0.3513	0.0344
VEN_075_set8__162	0.1100	0.1251	0.4407	-0.1167	0.6068	0.1404	-0.0030	0.1349	0.0235	0.2747
VEN_075_set8__194	0.3474	0.4241	0.6834	0.0959	0.8215	0.2671	0.2647	0.3738	0.2958	0.4298
VEN_075_set8__310	-0.4628	-0.3523	-0.5908	0.2453	-0.5394	-0.3402	-0.3706	-0.5436	-0.3898	-0.5328
VEN_075_set8__408	-0.1205	-0.0907	0.2465	-0.2589	0.3291	-0.1370	-0.1279	-0.0880	-0.1509	-0.0244
VEN_075_set8__422	0.4086	0.6192	0.0485	0.5248	-0.1771	0.4241	0.6160	0.2387	0.2915	0.5580
VEN_075_set8__488	-0.0670	-0.2459	-0.6809	0.4198	-0.7681	-0.0807	-0.1427	-0.1637	-0.0369	-0.1608
VEN_075_set8__593	0.2458	0.2982	0.3757	0.8132	0.5119	0.3054	0.3913	0.1137	0.1674	0.2680
VEN_075_set8__637	-0.0973	-0.1710	0.0451	-0.3355	0.2776	-0.0243	-0.1408	-0.3498	-0.1591	0.1623
VEN_075_set8__667	0.2106	0.1945	0.5592	-0.1159	0.6864	0.1794	0.0846	0.3578	0.1429	0.1766
VEN_075_set8__684	-0.1367	-0.2525	0.4418	-0.5175	0.3341	-0.1293	-0.1157	-0.1147	-0.1451	-0.0711
VEN_075_set8__700	0.2887	0.3763	0.7014	0.0296	0.8126	0.3224	0.2564	0.3446	0.1798	0.4051
VEN_075_set8__746	-0.1598	0.1589	0.2203	-0.2325	0.4460	-0.1135	-0.3264	-0.2362	-0.1148	-0.3219
VEN_075_set8__767	-0.1622	-0.1007	0.0905	0.0817	0.4117	-0.1413	-0.0038	0.1480	0.0002	-0.1896
VEN_075_set8__780	0.6082	0.3999	0.0763	0.5164	-0.1815	0.7455	0.6623	0.5467	0.7403	0.6269
VEN_075_set8__850	-0.6263	-0.6496	-0.1901	-1.2943	0.2074	-0.5813	-0.7081	-0.9234	-0.5302	-0.4091
VEN_075_set9__108	0.2129	0.2339	0.6744	-0.0775	0.7013	0.1031	0.2659	0.0684	0.0911	0.2067
VEN_075_set9__177	0.0169	-0.1584	-0.4258	0.4592	-0.5013	-0.1008	0.0022	-0.2272	0.0706	-0.1605
VEN_075_set9__253	0.2607	0.3452	0.6247	-0.1300	0.7937	0.1882	0.2382	0.3361	0.1302	0.2450
VEN_075_set9__288	-0.7247	-0.9029	-0.7605	-0.0251	-1.0190	-0.7261	-0.5442	-0.8281	-0.6696	-0.6687
VEN_075_set9__35	-0.1199	-0.0980	0.3866	-0.4802	0.3978	-0.0566	-0.0439	-0.1171	-0.1531	-0.0127
VEN_075_set9__72	-0.1283	-0.2687	0.3442	-0.4460	0.5131	-0.2176	-0.1600	-0.2242	-0.2128	-0.0527
VEN_076_set10__100	0.4681	0.4458	0.8248	0.0806	0.8898	0.2947	0.4575	0.4285	0.3527	0.4614
VEN_076_set10__23	-0.1838	-0.2527	-0.5800	0.1594	-0.7088	-0.1913	-0.2166	-0.0945	-0.1399	-0.2561
VEN_076_set10__344	-0.6019	-0.9666	-0.9638	-0.6750	-0.9017	-0.8350	-0.5711	-1.0229	-0.5842	-0.6580
VEN_076_set10__423	0.3557	0.2870	0.6479	-0.0042	0.7432	0.2399	0.3170	0.3006	0.2373	0.3636
VEN_076_set10__515	0.2696	0.2355	0.5644	0.0643	0.6911	0.2075	0.2006	0.3993	0.1873	0.2833
VEN_076_set10__578	0.4087	0.3788	0.7454	0.0619	0.8718	0.2753	0.3436	0.4312	0.3257	0.3924
VEN_076_set10__591	0.1591	0.1275	0.5282	-0.3593	0.6586	0.0648	0.1303	0.3293	0.0349	0.1559
VEN_076_set10__650	-0.0816	-0.2537	-0.3938	0.1993	-0.5084	-0.1443	-0.1415	0.0498	0.0032	-0.0589
